col_0,col_1,col_2,col_3,col_4,col_5,Expenditures,col_7,LT,col_9,col_10,Library,col_12,col_13,col_14,col_15
,,,,Prov./,,E&G,Total,Invest,Faculty,,Volumes,Enrollment,,MDiv,
Name,Status,IUC,Race,State,Denom,$thousands,,$millions,FT,FTE,(000),HC,FTE,Tuition,Fees
China Evangelical Seminary North America,ACCRED,I,V,CA,NONDEN,133,133,1,5,7,35,163,52,8100,200
Christ the King Seminary,ACCRED,I,W,NY,RC,4818,5207,4,1,6,0,11,8,26000,350
Christian Theological Seminary,ACCRED,I,W,IN,DISCPL,10051,10051,119,10,14,195,152,123,12780,210
Christian Witness Theological Seminary,ACCRED,I,A,CA,INTER,1516,1516,2,5,7,39,81,46,8650,1000
Church Divinity School of the Pacific,ACCRED,I,W,CA,EPISC,2356,2677,27,7,12,0,71,51,17850,160
Claremont School of Theology,ACCRED,I,W,CA,UMC,12963,12963,19,17,20,260,287,188,26520,500
Colgate Rochester Crozer Divinity School,ACCRED,I,W,NY,ABCUSA,3521,3524,18,5,7,5,46,19,10764,260
Columbia Biblical Seminary,ACCRED,C,W,SC,INTER,3595,3855,5,12,18,89,352,228,9945,555
Columbia Theological Seminary,ACCRED,I,W,GA,PCUSA,14698,14974,224,21,23,167,293,202,15120,650
Concordia Lutheran Seminary (AB),ACCRED,I,W,AB,LUTHCA,850,865,5,1,2,23,5,5,12710,380
Concordia Lutheran Theological Seminary (ON),ACCRED,I,W,ON,LUTHCA,755,755,5,4,5,39,17,9,6743,112
Concordia Seminary (MO),ACCRED,I,W,MO,LUTHMS,26549,27674,146,23,31,273,586,368,33540,150
Concordia Theological Seminary (IN),ACCRED,I,W,IN,LUTHMS,16870,18340,66,24,25,185,295,198,31005,547
Covenant Theological Seminary,ACCRED,I,W,MO,PCA,10311,10793,35,20,30,92,675,377,16800,300
Dallas Theological Seminary,ACCRED,I,W,TX,NONDEN,43926,47887,93,59,87,295,2443,1134,0,0
Denver Seminary,ACCRED,I,W,CO,INTER,13866,14674,16,27,29,190,846,431,16250,390
Dominican House of Studies,ACCRED,I,W,DC,RC,5750,5750,7,16,17,96,87,81,16080,0
Dominican School of Philosophy and Theology,ACCRED,I,W,CA,RC,3004,3004,7,12,15,0,72,61,18480,0
Drew University Theological School,ACCRED,U,M,NJ,UMC,13593,13593,25,18,25,677,371,260,17420,500
Duke University Divinity School,ACCRED,U,W,NC,UMC,18988,18988,192,38,43,464,617,530,25150,1350
Earlham School of Religion,ACCRED,C,W,IN,FRNDS,2229,2336,27,7,7,362,60,38,16200,485
Eastern Mennonite Seminary,ACCRED,C,W,VA,MBUS,1751,1751,7,5,7,81,62,38,14175,260
Ecumenical Theological Seminary,ACCRED,I,B,MI,INTER,1042,1042,0,2,9,0,58,37,15287,399
Eden Theological Seminary,ACCRED,I,W,MO,UCC,6450,6521,19,7,10,93,122,77,10000,60
Emmanuel Christian Seminary at Milligan,ACCRED,C,W,TN,CCHCHC,2840,2865,7,8,11,171,133,99,14550,600
Emmanuel College of Victoria University,ACCRED,U,W,ON,UCCAN,5290,5311,22,14,18,79,194,122,6020,1600
Erskine Theological Seminary,ACCRED,C,W,SC,ARP,1677,1681,7,6,7,196,129,64,480,80
Evangelia University Graduate School of Theology,ASSOC,U,n/a,CA,KPCAK,722,726,0,10,18,17,109,84,5940,90
Evangelical Seminary of Puerto Rico,ACCRED,I,H,PR,INTER,1098,1098,1,4,19,81,152,61,4270,400
Evangelical Theological Seminary,ACCRED,I,W,PA,EVCONG,2483,2483,3,5,13,88,190,153,11250,1200
Franciscan School of Theology,ACCRED,I,N,CA,RC,2756,2756,9,7,11,0,55,38,19200,3352
Freed-Hardeman University Graduate School of Theology,ACCRED,U,W,TN,CHUCHR,920,982,0,3,3,131,54,23,17690,0
Fresno Pacific Biblical Seminary,ACCRED,U,W,CA,MBNA,4088,4088,2,9,12,155,143,64,8730,0
Fuller Theological Seminary,ACCRED,I,W,CA,INTER,56991,64867,144,38,75,761,2673,1157,17000,2440
Garrett-Evangelical Theological Seminary,ACCRED,I,W,IL,UMC,15599,17496,107,26,26,529,280,232,22005,1000
Gateway Seminary,ACCRED,I,M,CA,SBC,14402,14592,50,22,35,164,1412,672,8250,440
General Theological Seminary,ACCRED,I,W,NY,EPISC,5919,7678,34,4,8,179,56,41,15000,400
George W. Truett Theological Seminary,ACCRED,U,W,TX,BAPBGCT,10976,10976,76,16,27,1918,343,252,18900,2250
Georgia Central University School of Divinity,ACCRED,U,N,GA,NONDEN,905,905,0,18,25,44,91,81,7360,1000
Gordon-Conwell Theological Seminary,ACCRED,I,W,MA,INTER,29535,31358,57,31,44,367,1489,699,21750,870
Grace Mission University Graduate School,ACCRED,U,A,CA,PCINT,1333,1333,0,0,0,28,202,189,3600,320
Grace School of Theology,ACCRED,I,W,TX,INTER,4638,4638,0,6,18,32,451,248,4500,400
Grace Theological Seminary,ACCRED,C,N,IN,FEGRACE,430,436,0,6,16,121,135,81,14200,0
"Graduate School of Theology and Ministry in Puerto Rico, St.
Albert the Great",ACCRED,U,H,PR,RC,136,136,0,1,3,29,27,16,5232,1070
Graduate Theological Union,ACCRED,I,W,CA,INTER,10419,10419,49,9,12,539,210,190,0,0
Grand Canyon Theological Seminary,ACCRED,U,B,AZ,INTER,3324,3324,0,10,41,38,567,493,9977,1107
Grand Rapids Theological Seminary,ACCRED,C,W,MI,INTER,2946,3021,3,10,22,111,279,151,13630,952
Harding School of Theology,ACCRED,C,W,TN,CHUCHR,2276,2321,13,6,7,149,120,52,18382,0
Hartford Seminary,ACCRED,I,W,CT,INTER,5465,5513,57,8,15,83,120,73,0,0
