"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2020",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Episcopal Church,,3,,15,,0,,0,,4,,11,,5,
Evangelical Church in Canada,,3,,8,,5,,13,,8,,18,,10,
Evangelical Congregational Church,,3,,4,,0,,0,,3,,3,,6,
Evangelical Covenant Church,,2,,2,,1,,2,,4,,5,,6,
Evangelical Formosan Church,,1,,1,,0,,0,,1,,2,,1,
Evangelical Free Church of America,,2,,2,,0,,0,,2,,2,,3,
Evangelical Free Church of Canada,,4,,12,,3,,24,,6,,23,,9,
Evangelical Lutheran Church in America,,0,,0,,0,,0,,4,,4,,4,
Evangelical Lutheran Church in Canada,,3,,15,,3,,5,,3,,7,,7,
Evangelical Presbyterian Church,,1,,1,,0,,0,,2,,2,,2,
Fellowship of Evangelical Baptist Churches in Canada,,8,,82,,4,,18,,9,,89,,12,
Fellowship of Grace Brethren Churches,,0,,0,,0,,0,,0,,0,,0,
Foursquare Gospel Church,,1,,1,,0,,0,,2,,2,,3,
Free Methodist Church,,3,,8,,2,,4,,7,,15,,9,
"Friends, Quaker",,0,,0,,1,,1,,0,,0,,1,
General Association of General Baptists,,0,,0,,0,,0,,1,,1,,1,
General Association of Regular Baptist Churches,,1,,1,,0,,0,,0,,0,,1,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
Greek Orthodox Archdiocese of America,,0,,0,,0,,0,,2,,3,,2,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,0,,0,,0,
Independent Baptist,,0,,0,,1,,1,,0,,0,,1,
Independent Methodist,,0,,0,,0,,0,,0,,0,,0,
Inter/Multidenominational,,3,,5,,2,,7,,5,,8,,7,
Jewish,,0,,0,,1,,4,,1,,1,,2,
Korean American Presbyterian Church,,3,,5,,0,,0,,1,,2,,3,
Korean Evangelical Holiness Church,,1,,1,,0,,0,,0,,0,,1,
Korean Methodist Church in America,,0,,0,,0,,0,,1,,2,,1,
Korean Presbyterian Church Abroad,,3,,13,,0,,0,,4,,90,,4,
Korean Presbyterian Church in America (Kosin),,0,,0,,0,,0,,2,,15,,2,
Lutheran Church-Canada,,5,,11,,2,,7,,9,,16,,12,
Lutheran Church-Missouri Synod,,1,,3,,0,,0,,2,,2,,2,
"Lutheran, Other",,3,,3,,1,,2,,6,,12,,7,
Mennonite Brethren Church in North America,,5,,16,,6,,20,,7,,42,,11,
Mennonite Church Canada,,2,,13,,6,,8,,6,,12,,12,
Mennonite Church USA,,0,,0,,0,,0,,0,,0,,0,
"Mennonite, Other",,3,,8,,2,,13,,3,,9,,5,
"Methodist, Other",,3,,7,,0,,0,,3,,5,,4,
Missionary Church in Canada,,1,,2,,1,,2,,2,,7,,3,
Moravian Church in North America,,1,,1,,1,,1,,2,,5,,3,
Muslim,,0,,0,,4,,33,,4,,17,,6,
National Association of Congregational Christian Churches,,0,,0,,0,,0,,1,,1,,1,
National Baptist Convention,,0,,0,,0,,0,,2,,2,,2,
Nondenominational,,12,,122,,6,,44,,13,,176,,17,
North American Baptist Conference,,2,,10,,1,,3,,4,,12,,4,
Orthodox Church in America,,1,,2,,0,,0,,1,,18,,1,
Orthodox Presbyterian,,0,,0,,0,,0,,0,,0,,0,
"Orthodox, Other",,2,,11,,2,,2,,4,,5,,6,
Other,,15,,221,,12,,274,,22,,547,,24,
Pentecostal Assemblies of Canada,,12,,57,,6,,16,,10,,86,,16,
