"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2020",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Abilene Christian University Graduate School of Theology,,81,39,56,25,23,10,2,1,0,0,0,0,162,75
Academy for Jewish Religion,,48,20,0,0,4,1,0,0,0,0,0,0,52,21
Acadia Divinity College,,40,23,0,0,35,14,40,13,0,0,80,28,195,78
Alliance Theological Seminary,,244,112,93,41,113,64,81,27,0,0,4,2,535,246
Ambrose Seminary of Ambrose University,,38,22,40,20,15,6,0,0,0,0,57,18,150,66
"America Evangelical University Graduate School of
Theology",,25,25,0,0,0,0,11,4,22,22,0,0,58,51
Anabaptist Mennonite Biblical Seminary,,49,28,8,5,29,14,0,0,0,0,0,0,86,47
Anderson University School of Theology,,27,18,6,4,10,6,0,0,0,0,0,0,43,28
Antiochian House of Studies,,0,0,0,0,0,0,0,0,137,137,107,107,244,244
Aquinas Institute of Theology,,18,16,30,23,20,12,43,14,0,0,9,8,120,73
Asbury Theological Seminary,,752,548,354,233,211,132,264,88,126,126,55,22,"1,762","1,149"
Ashland Theological Seminary,,58,30,144,91,13,5,25,8,0,0,7,3,247,137
Assemblies of God Theological Seminary,,46,41,34,30,22,13,88,38,75,75,0,0,265,197
Associated Canadian Theological Schools,,48,27,72,44,196,104,25,8,1,0,0,0,342,183
Athenaeum of Ohio,,68,66,9,6,13,6,0,0,0,0,72,56,162,134
Atlantic School of Theology,,56,34,0,0,17,5,0,0,0,0,24,8,97,47
Augustine Institute,,0,0,16,13,313,135,0,0,0,0,23,8,352,156
Austin Presbyterian Theological Seminary,,78,74,55,28,5,3,43,14,0,0,4,2,185,121
Azusa Pacific Seminary,,156,129,32,20,11,5,57,19,0,0,0,0,256,173
B. H. Carroll Theological Institute,,20,13,38,37,80,31,7,2,38,38,5,2,188,123
Baptist Missionary Association Theological Seminary,,21,15,7,5,33,21,0,0,0,0,0,0,61,41
Baptist Seminary of Kentucky,,35,28,0,0,0,0,0,0,0,0,0,0,35,28
Barry University Department of Theology and Philosophy,,0,0,37,14,0,0,21,7,0,0,0,0,58,21
Beeson Divinity School,,113,101,0,0,15,13,15,5,0,0,0,0,143,119
Berkeley Divinity School,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley School of Theology (CA),,15,10,0,0,1,1,22,7,0,0,4,2,42,20
Bethany Theological Seminary,,27,18,0,0,21,16,0,0,0,0,25,11,73,45
Bethel Seminary,,126,57,166,107,63,33,70,23,0,0,17,8,442,228
"Bexley Hall Seabury-Western Theological Seminary
Federation, Inc.",,51,25,0,0,0,0,20,7,0,0,0,0,71,32
Boston College School of Theology and Ministry,,51,49,78,49,49,46,0,0,23,18,73,50,274,212
Boston University School of Theology,,183,179,4,4,40,38,65,22,72,71,3,1,367,315
Briercrest College and Seminary,,14,12,97,68,11,8,0,0,0,0,0,0,122,88
Brite Divinity School,,77,55,10,8,16,12,17,6,22,21,2,2,144,104
Byzantine Catholic Seminary of SS. Cyril and Methodius,,12,9,0,0,27,8,0,0,0,0,7,1,46,18
Calvin Theological Seminary,,97,92,34,25,26,20,12,4,56,55,42,14,267,210
Campbell University Divinity School,,86,73,9,7,8,8,22,7,0,0,5,0,130,95
Canadian Reformed Theological Seminary,,26,25,0,0,0,0,0,0,0,0,2,2,28,27
Canadian Southern Baptist Seminary,,19,11,3,1,11,6,0,0,0,0,0,0,33,18
Candler School of Theology,,314,299,8,5,49,36,89,30,20,13,3,1,483,384
Carey Theological College,,34,4,29,3,0,0,8,3,0,0,14,0,85,10
Catholic Distance University Graduate School of Theology,,0,0,23,23,78,60,0,0,0,0,37,34,138,117
Catholic Theological Union,,98,89,70,33,16,10,17,6,0,0,24,7,225,145
"Catholic University of America School of Theology and
Religious Studies",,97,90,14,8,20,15,34,11,91,91,0,0,256,215
Central Baptist Theological Seminary,,154,147,26,26,10,6,76,25,0,0,114,113,380,317
Central Baptist Theological Seminary of Minneapolis,,33,15,0,0,11,10,4,1,2,1,0,0,50,27
Chapman Seminary,,3,2,0,0,0,0,5,2,0,0,0,0,8,4
Chicago Theological Seminary,,197,107,0,0,41,21,0,0,43,41,2,2,283,171
