col_0,col_1,col_2,col_3,col_4,col_5,Expenditures,col_7,LT,col_9,col_10,Library,col_12,col_13,col_14,col_15
,,,,Prov./,,E&G,Total,Invest,Faculty,,Volumes,Enrollment,,MDiv,
Name,Status,IUC,Race,State,Denom,$thousands,,$millions,FT,FTE,(000),HC,FTE,Tuition,Fees
Harvard University Divinity School,ACCRED,U,W,MA,INTER,44264,44350,673,35,46,555,281,264,27408,3788
Hazelip School of Theology,ACCRED,U,W,TN,CHUCHR,855,903,0,7,11,146,135,69,12600,0
Henry Appenzeller University,ASSOC,I,A,CA,KMCA,198,198,0,0,0,15,12,8,6000,0
Heritage Theological Seminary,ACCRED,C,W,ON,FEVBAPT,1217,1377,0,4,6,43,183,59,10800,0
HMS Richards Divinity School Division of Graduate Studies,ACCRED,U,W,CA,SDADV,663,663,0,9,22,248,24,16,15931,0
Holy Apostles College and Seminary,ACCRED,C,N,CT,RC,4242,4242,8,8,42,64,382,278,8000,525
Holy Cross Greek Orthodox School of Theology,ACCRED,C,W,MA,GRORTH,9227,10542,21,11,11,80,86,77,21940,0
Hood Theological Seminary,ACCRED,I,B,NC,AMEZ,2853,2853,8,5,12,43,146,85,18480,750
Houston Graduate School of Theology,ACCRED,I,B,TX,INTER,1522,1522,0,3,16,28,132,92,12600,550
Howard University School of Divinity,ACCRED,U,B,DC,NONDEN,1858,1858,0,13,13,133,86,51,18990,1790
Huron University College Faculty of Theology,ACCRED,U,N,ON,ANGL,2662,2662,0,7,11,0,50,33,6050,2154
Iliff School of Theology,ACCRED,I,W,CO,UMC,8158,8232,34,19,20,185,209,180,19824,345
Immaculate Conception Seminary,ACCRED,U,V,NJ,RC,10158,10406,18,14,20,83,248,180,21018,800
Institut de Formation Theologique de Montreal,ASSOC,I,W,QC,RC,719,719,0,2,3,163,29,14,4001,0
Inter-American Adventist Theological Seminary,ACCRED,I,M,PR,SDADV,821,821,0,11,17,60,432,301,0,0
Interdenominational Theological Center,ACCRED,I,B,GA,INTER,6186,6446,6,14,20,351,285,203,14000,945
International Theological Seminary,ACCRED,I,V,CA,NONDEN,1054,1054,1,2,10,38,63,19,10500,0
James and Carolyn McAfee School of Theology,ACCRED,U,W,GA,CBF,2207,2207,23,11,13,70,125,84,11400,300
Jesuit School of Theology,ACCRED,U,W,CA,RC,5812,6784,38,11,15,0,131,110,22518,0
John Leland Center for Theological Studies,ACCRED,I,M,VA,BGAV,1381,1381,6,3,8,17,43,24,9900,0
Kearley Graduate School of Theology,ACCRED,U,W,AL,CHUCHR,351,351,0,8,9,555,25,21,0,0
Kenrick-Glennon Seminary,ACCRED,I,W,MO,RC,8939,9573,30,18,19,99,79,79,27450,13520
The King's Seminary,CAND,U,W,TX,INTER,10555,10734,0,9,10,153,300,152,12740,1170
Knox College,ACCRED,I,A,ON,PCC,4751,5473,23,7,12,77,113,79,6020,2148
Knox Theological Seminary,ACCRED,I,W,FL,NONDEN,2173,2173,3,3,8,36,138,64,8550,380
Lancaster Theological Seminary,ACCRED,I,W,PA,UCC,4134,4508,18,6,15,98,99,74,19430,330
Lexington Theological Seminary,ACCRED,I,W,KY,DISCPL,2917,2917,42,3,10,100,75,36,9120,300
Liberty University John W. Rawlings School of Divinity,ACCRED,U,W,VA,BAPT,18818,18818,0,15,80,340,5364,3676,5700,298
Lincoln Christian Seminary,ACCRED,C,N,IL,CCHCHC,1891,1996,1,10,11,98,211,108,8388,100
Logos Evangelical Seminary,ACCRED,I,A,CA,EVFORM,4561,5079,8,13,15,67,189,90,10410,200
Logsdon Seminary of Logsdon School of Theology,ACCRED,U,W,TX,BAPBGCT,900,900,1,3,5,59,64,37,11425,2050
Louisville Presbyterian Theological Seminary,ACCRED,I,W,KY,PCUSA,8699,9956,79,12,15,196,149,109,11502,336
Loyola Marymount University Department of Theological Studies,ACCRED,U,W,CA,RC,2256,2256,0,28,35,706,80,73,0,0
Loyola University Chicago Institute of Pastoral Studies,ACCRED,U,n/a,IL,RC,4125,4125,3,9,12,1221,198,157,14184,452
Luther Seminary,ACCRED,I,W,MN,ELCA,22124,22693,109,24,32,244,502,350,18000,170
Lutheran School of Theology at Chicago,ACCRED,I,W,IL,ELCA,11310,12888,43,13,16,291,138,121,19170,175
Lutheran Theological Seminary (SK),ACCRED,I,A,SK,ELCC,1235,1460,8,3,4,47,23,13,9720,2147
Lutheran Theological Southern Seminary,ACCRED,U,W,SC,ELCA,4117,4216,32,5,5,122,69,45,19090,0
M. Christopher White School of Divinity,ACCRED,C,W,NC,BAPTNC,2832,2832,0,8,8,175,123,73,12610,130
Martin Luther University College,ACCRED,U,N,ON,ELCC,3642,3642,10,9,22,46,113,93,8142,1905
McCormick Theological Seminary,ACCRED,I,B,IL,PCUSA,8479,8501,78,8,20,291,221,95,8640,770
McGill University School of Religious Studies,ACCRED,U,N,QC,INTER,1038,1038,17,18,21,2217,0,0,0,0
McMaster Divinity College,ACCRED,I,W,ON,BAPTOQ,3497,3497,25,10,14,1559,215,163,5912,130
Meadville Lombard Theological School,ACCRED,I,W,IL,UUA,4003,4004,28,4,9,27,79,54,23463,820
Memphis Theological Seminary,ACCRED,I,B,TN,PCCUM,3562,3562,12,9,9,90,181,103,12180,170
Methodist Theological School in Ohio,ACCRED,I,W,OH,UMC,6779,7581,43,12,18,145,144,103,24653,1360
Mid-America Reformed Seminary,ACCRED,I,W,IN,INTER,2034,2034,0,6,6,44,24,21,9860,100
Midwest University Graduate School of Theology,ASSOC,U,A,MO,NONDEN,1469,1488,0,4,7,35,28,18,6000,270
Midwestern Baptist Theological Seminary,ACCRED,I,W,MO,SBC,18372,21397,8,31,31,115,2392,1495,6900,850
