col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2019,2020
Academy for Jewish Religion,Candidate,Accredited
America Evangelical University Graduate School of Theology,Associate,Candidate
Catholic Distance University Graduate School of Theology,Candidate,Accredited
Evangelia University Graduate School of Theology,n/a,Associate
Liberty University John W. Rawlings School of Divinity,Candidate,Accredited
Lubbock Christian University Graduate School of Theology,Associate,Withdrawn
Palm Beach Atlantic University School of Ministry Graduate Department,Candidate,Accredited
Saint Sophia Ukrainian Orthodox Theological Seminary,n/a,Associate
Southeastern University School of Divinity,Candidate,Accredited
Southern California Seminary Graduate School of Bible and Theology,n/a,Associate
St. Thomas University School of Theology and Ministry,Candidate,Withdrawn
Toronto School of Theology,Accredited,Withdrawn
