"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2020",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
China Evangelical Seminary North America,,25,12,41,13,73,19,13,4,11,4,0,0,163,52
Christ the King Seminary,,7,7,4,1,0,0,0,0,0,0,0,0,11,8
Christian Theological Seminary,,62,54,48,39,7,3,13,4,22,22,0,0,152,122
Christian Witness Theological Seminary,,18,14,41,25,0,0,6,2,5,3,11,2,81,46
Church Divinity School of the Pacific,,43,37,0,0,15,9,0,0,0,0,13,6,71,52
Claremont School of Theology,,116,76,0,0,25,9,65,22,81,81,0,0,287,188
Colgate Rochester Crozer Divinity School,,8,5,0,0,3,2,35,12,0,0,0,0,46,19
Columbia Biblical Seminary,,104,81,117,62,94,48,37,37,0,0,0,0,352,228
Columbia Theological Seminary,,120,111,16,10,15,11,130,59,12,12,0,0,293,203
Concordia Lutheran Seminary (AB),,4,4,0,0,0,0,0,0,0,0,1,1,5,5
Concordia Lutheran Theological Seminary (ON),,10,7,0,0,5,1,0,0,0,0,2,2,17,10
Concordia Seminary (MO),,201,161,11,9,15,6,48,16,130,106,181,70,586,368
Concordia Theological Seminary (IN),,152,113,35,26,4,2,17,6,54,47,33,4,295,198
Covenant Theological Seminary,,226,128,218,162,152,62,52,17,8,5,19,4,675,378
Dallas Theological Seminary,,589,330,826,391,656,192,206,123,82,79,84,19,"2,443","1,134"
Denver Seminary,,297,162,252,154,200,83,87,29,10,3,0,0,846,431
Dominican House of Studies,,54,52,0,0,33,29,0,0,0,0,0,0,87,81
Dominican School of Philosophy and Theology,,8,8,0,0,26,22,0,0,0,0,38,31,72,61
Drew University Theological School,,161,145,18,15,16,10,124,41,52,49,0,0,371,260
Duke University Divinity School,,333,333,52,51,72,63,113,38,47,45,0,0,617,530
Earlham School of Religion,,32,22,0,0,17,12,0,0,0,0,11,5,60,39
Eastern Mennonite Seminary,,30,20,10,4,5,4,0,0,0,0,17,9,62,37
Ecumenical Theological Seminary,,22,18,14,12,0,0,22,7,0,0,0,0,58,37
Eden Theological Seminary,,77,57,5,4,5,5,35,12,0,0,0,0,122,78
Emmanuel Christian Seminary at Milligan,,78,66,40,26,4,4,11,4,0,0,0,0,133,100
Emmanuel College of Victoria University,,22,14,107,57,15,7,6,2,42,40,2,1,194,121
Erskine Theological Seminary,,39,25,10,7,10,9,46,15,12,6,12,2,129,64
Evangelia University Graduate School of Theology,,61,44,6,5,12,7,30,28,0,0,0,0,109,84
Evangelical Seminary of Puerto Rico,,126,52,0,0,14,6,1,0,0,0,11,3,152,61
Evangelical Theological Seminary,,45,26,28,16,15,9,0,0,88,88,14,14,190,153
Franciscan School of Theology,,22,20,0,0,29,16,0,0,0,0,4,2,55,38
Freed-Hardeman University Graduate School of Theology,,25,11,17,7,12,5,0,0,0,0,0,0,54,23
Fresno Pacific Biblical Seminary,,23,11,111,50,9,3,0,0,0,0,0,0,143,64
Fuller Theological Seminary,,628,293,355,121,497,220,993,391,117,109,83,23,"2,673","1,157"
Garrett-Evangelical Theological Seminary,,101,101,44,44,11,10,45,15,53,53,26,9,280,232
Gateway Seminary,,345,160,132,58,174,71,161,54,30,29,570,299,"1,412",671
General Theological Seminary,,13,12,15,15,8,5,8,3,2,2,10,4,56,41
George W. Truett Theological Seminary,,242,207,30,18,7,3,51,17,7,7,6,1,343,253
Georgia Central University School of Divinity,,26,26,34,34,0,0,15,5,16,16,0,0,91,81
Gordon-Conwell Theological Seminary,,364,221,331,178,243,121,352,117,24,11,175,51,"1,489",699
Grace Mission University Graduate School,,99,99,78,65,0,0,25,25,0,0,0,0,202,189
Grace School of Theology,,148,92,186,91,83,52,29,10,5,3,0,0,451,248
Grace Theological Seminary,,48,25,35,13,0,0,48,41,0,0,4,1,135,80
"Graduate School of Theology and Ministry in Puerto Rico,
St. Albert the Great",,10,6,4,3,13,7,0,0,0,0,0,0,27,16
Graduate Theological Union,,0,0,0,0,51,44,0,0,137,137,22,9,210,190
Grand Canyon Theological Seminary,,248,220,292,246,0,0,0,0,0,0,27,27,567,493
Grand Rapids Theological Seminary,,54,34,177,95,44,19,0,0,4,2,0,0,279,150
Harding School of Theology,,48,22,30,10,13,6,16,5,0,0,13,8,120,51
