"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2014",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Salvation Army,,9,,17,,6,,19,,12,,21,,19,
Seventh Day Baptist General Conference,,1,,1,,0,,0,,2,,2,,3,
Seventh-day Adventist,,25,,462,,13,,609,,42,,627,,57,
Southern Baptist Convention,,69,,4881,,42,,1431,,60,,4328,,91,
"Swedenborgian Church, General Convention",,2,,3,,1,,1,,1,,1,,3,
Unitarian Universalist,,31,,275,,10,,15,,23,,61,,41,
United Church of Canada,,2,,8,,0,,0,,10,,16,,11,
United Church of Christ,,67,,476,,20,,44,,55,,219,,85,
United Methodist Church,,105,,2772,,63,,377,,113,,1204,,143,
United Pentecostal Church International,,23,,57,,17,,62,,16,,39,,34,
Wesleyan Church,,21,,156,,19,,106,,28,,60,,40,
Wisconsin Evangelical Lutheran Synod,,0,,0,,1,,1,,3,,3,,4,
"Total 221 28,690 161 10,719 215 26,872 230",,,,,,,,,,,,,,,
