"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2014",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,3,,24,,3,,6,,7,,23,,9,
Evangelical Presbyterian Church,,27,,93,,8,,40,,25,,113,,35,
Fellowship of Evangelical Baptist Churches in Canada,,5,,53,,3,,21,,8,,69,,9,
Fellowship of Grace Brethren Churches,,4,,4,,4,,5,,9,,19,,9,
Foursquare Gospel Church,,14,,40,,10,,45,,19,,71,,30,
Free Methodist Church,,18,,66,,12,,25,,23,,71,,33,
"Friends, Quaker",,9,,18,,7,,11,,12,,12,,24,
General Association of General Baptists,,3,,9,,1,,4,,3,,7,,4,
General Association of Regular Baptist Churches,,4,,9,,2,,3,,10,,23,,13,
General Baptist State Convention of North Carolina,,2,,2,,0,,0,,1,,1,,3,
General Church of New Jerusalem,,0,,0,,2,,2,,0,,0,,2,
Greek Orthodox Archdiocese of America,,3,,74,,1,,1,,11,,25,,12,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,1,,1,,1,
Independent Baptist,,32,,99,,15,,29,,29,,113,,47,
Independent Methodist,,20,,85,,13,,38,,18,,51,,35,
Inter/Multidenominational,,35,,120,,18,,84,,31,,117,,49,
Jewish,,10,,18,,5,,6,,25,,64,,30,
Korean American Presbyterian Church,,27,,272,,14,,108,,35,,196,,43,
Korean Evangelical Holiness Church,,2,,16,,4,,9,,5,,13,,7,
Lutheran Church-Canada,,3,,14,,4,,9,,11,,27,,13,
Lutheran Church-Missouri Synod,,13,,448,,11,,40,,27,,410,,33,
"Lutheran, Other",,41,,105,,22,,47,,58,,186,,81,
Mennonite Brethren Church in North America,,14,,26,,9,,42,,19,,53,,26,
Mennonite Church Canada,,5,,7,,4,,9,,11,,24,,14,
Mennonite Church USA,,20,,102,,10,,23,,18,,56,,33,
"Mennonite, Other",,16,,26,,10,,23,,20,,41,,31,
Missionary Church in Canada,,3,,5,,3,,5,,4,,10,,7,
Moravian Church in North America,,6,,18,,1,,1,,4,,10,,7,
Muslim,,5,,11,,5,,11,,15,,116,,18,
National Association of Congregational Christian Churches,,8,,11,,0,,0,,9,,14,,15,
National Baptist Convention,,42,,168,,11,,17,,37,,88,,55,
Nondenominational,,132,,2554,,93,,2003,,136,,2685,,161,
North American Baptist Conference,,13,,31,,6,,18,,15,,29,,20,
Orthodox Church in America,,6,,41,,4,,4,,8,,23,,15,
Orthodox Presbyterian,,11,,57,,5,,9,,8,,34,,15,
"Orthodox, Other",,12,,50,,8,,10,,29,,90,,43,
Other,,167,,2766,,109,,1583,,177,,5829,,204,
Pentecostal Assemblies of Canada,,14,,73,,10,,43,,21,,129,,26,
Presbyterian Church (U.S.A.),,109,,1163,,51,,210,,93,,873,,133,
Presbyterian Church in America,,48,,710,,18,,234,,50,,588,,68,
Presbyterian Church in Canada,,9,,110,,7,,7,,19,,54,,22,
Presbyterian Church International,,12,,38,,4,,21,,17,,196,,21,
Progressive National Baptist Convention,,8,,12,,3,,4,,10,,15,,19,
Reformed Church in America,,32,,220,,12,,28,,33,,113,,48,
Reformed Church in Canada,,7,,9,,0,,0,,2,,2,,8,
Reformed Episcopal Church,,7,,17,,1,,3,,3,,9,,10,
Reformed Presbyterian,,11,,47,,7,,15,,13,,41,,21,
Religious Society of Friends,,12,,31,,3,,4,,12,,31,,16,
Roman Catholic,,91,,2860,,71,,1217,,121,,2935,,152,
