"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2014",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
China Evangelical Seminary North America,,22,19,27,19,7,4,0,0,4,1,0,0,60,43
Christ The King Seminary,,41,22,33,12,19,6,0,0,0,0,1,0,94,40
Christian Theological Seminary,,85,81,55,52,14,8,5,2,0,0,0,0,159,143
Christian Witness Theological Seminary,,17,14,14,8,12,7,11,4,0,0,24,4,78,37
Church Divinity School of the Pacific,,31,28,0,0,12,11,7,2,0,0,14,6,64,47
Cincinnati Bible Seminary,,55,28,56,37,95,76,0,0,0,0,0,0,206,141
Claremont School of Theology,,82,72,9,7,60,51,7,2,114,114,0,0,272,246
Colgate Rochester Crozer Divinity School,,50,47,0,0,9,8,14,5,0,0,5,3,78,63
"Columbia International University - Seminary & School of
Ministry",,174,132,86,61,50,32,5,2,0,0,28,11,343,238
Columbia Theological Seminary,,119,111,25,18,13,8,167,76,9,9,0,0,333,222
Concordia Lutheran Seminary (AB),,12,12,0,0,0,0,0,0,0,0,2,1,14,13
Concordia Lutheran Theological Seminary (ON),,7,7,0,0,4,3,0,0,0,0,2,2,13,12
Concordia Seminary (MO),,264,264,10,10,15,5,26,9,106,81,182,60,603,429
Concordia Theological Seminary (IN),,162,159,20,17,16,13,31,10,30,30,63,9,322,238
Covenant Theological Seminary,,262,215,160,91,63,24,26,9,10,4,0,0,521,343
Dallas Theological Seminary,,0,0,771,393,206,64,136,59,729,505,242,59,"2,084","1,080"
Denver Seminary,,255,151,409,215,120,47,115,38,0,0,45,12,944,463
Dominican House of Studies,,56,56,0,0,11,9,0,0,0,0,20,20,87,85
Dominican School of Philosophy and Theology,,8,7,0,0,55,40,0,0,0,0,16,11,79,58
Dominican Study Center of the Caribbean,,32,25,4,2,27,14,0,0,0,0,0,0,63,41
Drew University Theological School,,180,133,10,5,23,18,97,32,79,78,0,0,389,266
Duke University Divinity School,,432,426,23,23,59,55,50,17,62,60,13,7,639,588
Earlham School of Religion,,36,29,0,0,11,6,0,0,0,0,10,3,57,38
Eastern Mennonite Seminary,,65,44,13,6,5,3,0,0,0,0,34,13,117,66
Ecumenical Theological Seminary,,40,14,14,5,0,0,26,9,0,0,0,0,80,28
Eden Theological Seminary,,99,73,4,1,12,8,29,10,0,0,0,0,144,92
Emmanuel Christian Seminary,,56,31,28,24,12,4,11,4,0,0,0,0,107,63
Emmanuel College of Victoria University,,54,36,24,10,12,4,7,2,45,44,5,1,147,97
Episcopal Divinity School,,46,39,0,0,4,3,8,3,0,0,2,2,60,47
Erskine Theological Seminary,,76,33,8,4,9,3,33,11,5,2,0,0,131,53
Evangelical Seminary of Puerto Rico,,195,59,0,0,35,35,0,0,0,0,0,0,230,94
Evangelical Theological Seminary,,52,31,35,24,25,15,0,0,0,0,12,7,124,77
Franciscan School of Theology,,10,4,1,1,35,26,0,0,0,0,0,0,46,31
Freed-Hardeman University Graduate School of Theology,,20,9,22,16,27,15,0,0,0,0,0,0,69,40
Fresno Pacific Biblical Seminary,,27,25,108,104,8,6,0,0,0,0,0,0,143,135
Fuller Theological Seminary,,718,369,734,341,316,96,"1,057",352,325,310,108,15,"3,258","1,483"
Garrett-Evangelical Theological Seminary,,166,124,40,25,19,10,32,11,78,78,30,8,365,256
General Theological Seminary,,38,38,11,9,4,3,0,0,15,12,0,0,68,62
George Fox Evangelical Seminary,,78,9,87,11,21,9,138,46,0,0,0,0,324,75
"George W. Truett Theological Seminary of Baylor
University",,282,238,21,15,7,3,33,11,0,0,0,0,343,267
Georgia Christian University School of Divinity,,23,17,27,22,6,5,17,6,0,0,0,0,73,50
Golden Gate Baptist Theological Seminary,,386,190,90,53,119,53,135,45,42,41,618,355,"1,390",737
Gordon-Conwell Theological Seminary,,691,485,355,197,350,169,431,144,34,23,206,70,"2,067","1,088"
Grace Mission University Graduate School,,72,32,32,15,0,0,13,13,0,0,0,0,117,60
Grace School of Theology,,35,24,64,36,0,0,0,0,7,4,5,3,111,67
Grace Theological Seminary,,28,18,14,10,0,0,92,75,0,0,0,0,134,103
Graduate Theological Union,,0,0,0,0,38,32,0,0,191,191,16,10,245,233
