"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2014",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Salvation Army,,4,,7,,4,,5,,8,,16,,12,
Seventh Day Baptist General Conference,,0,,0,,0,,0,,0,,0,,0,
Seventh-day Adventist,,1,,6,,0,,0,,4,,5,,4,
Southern Baptist Convention,,3,,3,,1,,1,,4,,7,,6,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,4,,8,,3,,5,,2,,9,,5,
United Church of Canada,,11,,123,,7,,31,,15,,134,,19,
United Church of Christ,,2,,6,,0,,0,,0,,0,,2,
United Methodist Church,,0,,0,,0,,0,,2,,8,,2,
United Pentecostal Church International,,0,,0,,0,,0,,0,,0,,0,
Wesleyan Church,,2,,2,,0,,0,,4,,9,,5,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 35 1,557 20 842 35 2,595 38",,,,,,,,,,,,,,,
