"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2014",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Salvation Army,,13,,24,,10,,24,,20,,37,,31,
Seventh Day Baptist General Conference,,1,,1,,0,,0,,2,,2,,3,
Seventh-day Adventist,,26,,468,,13,,609,,46,,632,,61,
Southern Baptist Convention,,72,,4884,,43,,1432,,64,,4335,,97,
"Swedenborgian Church, General Convention",,2,,3,,1,,1,,1,,1,,3,
Unitarian Universalist,,35,,283,,13,,20,,25,,70,,46,
United Church of Canada,,13,,131,,7,,31,,25,,150,,30,
United Church of Christ,,69,,482,,20,,44,,55,,219,,87,
United Methodist Church,,105,,2772,,63,,377,,115,,1212,,145,
United Pentecostal Church International,,23,,57,,17,,62,,16,,39,,34,
Wesleyan Church,,23,,158,,19,,106,,32,,69,,45,
Wisconsin Evangelical Lutheran Synod,,0,,0,,1,,1,,3,,3,,4,
"Total 256 30,247 181 11,561 250 29,467 268",,,,,,,,,,,,,,,
