Membership Status,2005,2010,2013,2014
"Accredited United States 192 203 207 209
Canada 32 33 34 35
Total 224 236 241 244",,,,
"Candidate United States 6 6 5 9
Canada 2 1 2 1
Total 8 7 7 10",,,,
"Associate United States 16 12 15 14
Canada 2 5 4 5
Total 18 17 19 19",,,,
"Totals United States 214 221 227 232
Canada 36 39 40 41
All Schools 250 260 267 273",,,,
