"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2014",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,4,,13,,2,,7,,5,,6,,8,
African Methodist Episcopal,,72,,544,,26,,36,,47,,178,,88,
African Methodist Episcopal Zion,,24,,105,,5,,5,,14,,49,,29,
American Baptist Churches USA,,56,,321,,31,,106,,56,,279,,79,
Anglican Church of Canada,,1,,1,,1,,2,,10,,14,,11,
"Anglican, Other",,35,,147,,13,,22,,37,,185,,54,
Assemblies of God,,74,,432,,39,,231,,73,,622,,102,
Associate Reformed Presbyterian Church,,8,,40,,5,,8,,8,,25,,12,
Associated Gospel Churches of Canada,,0,,0,,0,,0,,3,,3,,3,
Baptist,,113,,"1,637",,79,,628,,115,,"1,470",,143,
Baptist Convention of Ontario and Quebec,,0,,0,,0,,0,,1,,1,,1,
Baptist General Association of Virginia,,4,,24,,3,,5,,3,,17,,4,
Baptist General Conference,,31,,87,,15,,65,,25,,109,,40,
Baptist General Convention of Texas,,5,,318,,3,,27,,6,,74,,9,
Baptist Missionary Association of America,,30,,87,,9,,31,,19,,41,,38,
Baptist State Convention of North Carolina,,2,,35,,2,,8,,1,,5,,3,
"Brethren Church (Ashland, Ohio)",,2,,8,,3,,11,,5,,20,,6,
Brethren in Christ Church,,9,,14,,6,,10,,5,,7,,14,
Buddhist,,10,,31,,1,,2,,8,,34,,13,
Byzantine Catholic Archeparchy of Pittsburgh,,1,,4,,2,,7,,3,,3,,4,
Canadian Baptist of Western Canada,,0,,0,,0,,0,,2,,2,,2,
Canadian Convention of Southern Baptists,,0,,0,,0,,0,,0,,0,,0,
Canadian Reformed Churches,,2,,2,,1,,1,,1,,1,,4,
Christian and Missionary Alliance,,35,,175,,22,,115,,33,,207,,52,
Christian Brethren (Plymouth Brethren),,5,,7,,4,,13,,6,,10,,10,
Christian Church (Disciples of Christ),,48,,308,,21,,62,,50,,179,,69,
Christian Churches and Churches of Christ,,25,,108,,14,,81,,25,,191,,39,
Christian Methodist Episcopal,,26,,81,,7,,7,,15,,31,,38,
Christian Reformed Church,,30,,194,,13,,43,,29,,140,,42,
"Church of God (Anderson, Indiana)",,21,,54,,8,,51,,21,,56,,35,
"Church of God (Cleveland, Tennessee)",,16,,86,,10,,100,,20,,94,,30,
Church of God in Christ,,36,,83,,16,,22,,27,,62,,53,
Church of the Brethren,,15,,56,,7,,9,,15,,37,,29,
Church of the Nazarene,,34,,279,,21,,112,,37,,179,,58,
Churches of Christ,,40,,204,,19,,169,,40,,211,,63,
"Churches of God, General Conference",,15,,49,,10,,31,,15,,31,,27,
Conference of Mennonites,,1,,1,,0,,0,,2,,2,,2,
Conservative Baptist Association of America,,11,,41,,11,,22,,16,,75,,19,
Convention of Atlantic Baptist Churches,,0,,0,,0,,0,,1,,1,,1,
Cooperative Baptist Fellowship,,16,,132,,4,,9,,15,,45,,22,
Cumberland Presbyterian Church,,8,,42,,3,,10,,4,,12,,12,
Episcopal Church,,76,,657,,30,,96,,85,,588,,116,
Evangelical Church in Canada,,1,,1,,0,,0,,2,,2,,3,
Evangelical Congregational Church,,8,,10,,2,,2,,9,,14,,15,
Evangelical Covenant Church,,33,,155,,19,,94,,23,,80,,41,
Evangelical Formosan Church,,1,,5,,1,,2,,2,,15,,3,
Evangelical Free Church of America,,32,,164,,30,,169,,40,,301,,57,
Evangelical Free Church of Canada,,0,,0,,0,,0,,2,,2,,2,
Evangelical Lutheran Church in America,,57,,935,,28,,125,,64,,457,,87,
