col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2013,2014
America Evangelical University,n/a,Associate
Augustine Institute,Associate,Candidate
B. H. Carroll Theological Institute,n/a,Associate
Central Baptist Theological Seminary of Minneapolis,n/a,Associate
Christian Witness Theological Seminary,Associate,Candidate
Freed-Hardeman University Graduate School of Theology,Associate,Candidate
Georgia Christian University School of Divinity,Associate,Candidate
Grace School of Theology,n/a,Associate
Holy Apostles College and Seminary,n/a,Associate
Institut de Formation Theologique de Montreal,Terminated,Associate
Kearley Graduate School of Theology,n/a,Associate
"Lubbock Christian University College of Biblical Studies and Behavioral
Sciences",Associate,Candidate
Moody Theological Seminary and Graduate School - Michigan,Accredited,Terminated
Northwest Baptist Seminary,Candidate,Accredited
Puritan Reformed Seminary,Candidate,Accredited
Seattle Pacific Seminary of Seattle Pacific University,Associate,Candidate
Shepherd University School of Theology,Candidate,Accredited
Shepherds Theological Seminary,Associate,Candidate
Wesley Seminary at Indiana Wesleyan University,Candidate,Accredited
