Membership Status,2002,2007,2010,2011
"Accredited United States 183 198 203 206
Canada 31 33 33 34
Total 214 231 236 240",,,,
"Candidate United States 8 7 6 8
Canada 3 1 1 1
Total 11 8 7 9",,,,
"Associate United States 15 11 12 7
Canada 3 2 5 4
Total 18 13 17 11",,,,
"Totals United States 206 216 221 221
Canada 37 36 39 39
All Schools 243 252 260 260",,,,
