"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2011",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh-day Adventist,,1,,2,,0,,0,,6,,10,,6,
Southern Baptist Convention,,5,,6,,1,,1,,4,,10,,6,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,5,,8,,1,,1,,5,,12,,8,
United Church of Canada,,7,,153,,3,,34,,12,,159,,13,
United Church of Christ,,2,,18,,0,,0,,1,,134,,2,
United Methodist Church,,0,,0,,1,,1,,1,,1,,2,
United Pentecostal Church International,,1,,5,,0,,0,,1,,12,,1,
Wesleyan Church,,1,,1,,0,,0,,5,,8,,5,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 34 1,575 16 585 33 3,000 36",,,,,,,,,,,,,,,
