"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2011",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Seventh-day Adventist,,25,,448,,14,,563,,33,,491,,49,
Southern Baptist Convention,,67,,"5,072",,39,,"1,437",,69,,"3,818",,96,
"Swedenborgian Church, General Convention",,1,,2,,0,,0,,4,,5,,4,
Unitarian Universalist,,31,,281,,5,,8,,28,,95,,39,
United Church of Canada,,0,,0,,1,,1,,7,,15,,8,
United Church of Christ,,76,,557,,14,,27,,61,,323,,89,
United Methodist Church,,108,,"3,092",,62,,406,,114,,"1,282",,144,
United Pentecostal Church International,,15,,54,,10,,33,,17,,73,,24,
Wesleyan Church,,25,,60,,12,,30,,31,,77,,42,
Wisconsin Evangelical Lutheran Synod,,1,,1,,1,,1,,5,,8,,6,
"Total 212 30,786 142 10,404 208 27,769 220",,,,,,,,,,,,,,,
