"Table 2.15 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2011",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,"Ministerial
Non-MDiv",,"General
Theological",,"Advanced
Ministerial",,"Advanced
Research",,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Hazelip School of Theology,,44,20,10,5,31,16,0,0,0,0,1,0,86,41
Heritage Theological Seminary,,39,22,0,0,23,9,0,0,0,0,13,6,75,37
Holy Cross Greek Orthodox School of Theology,,95,95,0,0,13,13,0,0,10,10,0,0,118,118
Hood Theological Seminary,,175,145,0,0,8,6,30,10,0,0,4,2,217,163
Houston Graduate School of Theology,,70,60,55,40,14,10,36,12,0,0,10,4,185,126
Howard University School of Divinity,,99,72,0,0,12,10,16,5,0,0,0,0,127,87
Huron University College Faculty of Theology,,26,21,0,0,37,24,0,0,0,0,0,0,63,45
Iliff School of Theology,,166,143,45,41,38,28,4,1,99,99,0,0,352,312
Immaculate Conception Seminary,,99,99,1,0,103,55,0,0,0,0,125,105,328,259
Inter-American Adventist Theological Seminary,,0,0,338,307,0,0,28,9,0,0,0,0,366,316
Interdenominational Theological Center,,380,271,12,8,0,0,28,9,1,1,386,386,807,675
International Theological Seminary,,38,38,0,0,8,6,32,11,16,15,0,0,94,70
James and Carolyn McAfee School of Theology,,230,198,11,9,0,0,18,6,0,0,1,1,260,214
Jesuit School of Theology of Santa Clara University,,50,50,0,0,23,19,0,0,2,2,74,38,149,109
John Leland Center for Theological Studies,,31,17,15,9,13,7,0,0,0,0,15,6,74,39
Kenrick-Glennon Seminary,,78,78,0,0,0,0,0,0,0,0,0,0,78,78
Knox College,,75,42,6,1,13,5,15,5,41,36,29,9,179,98
Knox Theological Seminary,,35,18,2,1,34,13,67,22,0,0,4,1,142,55
La Sierra University School of Religion,,20,12,8,5,1,1,0,0,0,0,0,0,29,18
Lancaster Theological Seminary,,93,75,0,0,15,7,26,9,0,0,0,0,134,91
Lexington Theological Seminary,,49,37,1,1,4,3,2,1,0,0,0,0,56,42
Lincoln Christian University - The Seminary,,71,46,100,62,89,29,14,5,0,0,15,7,289,149
Logos Evangelical Seminary,,41,30,0,0,43,22,43,14,6,5,0,0,133,71
Logsdon Seminary of Logsdon School of Theology,,87,52,19,9,0,0,21,7,0,0,0,0,127,68
Louisville Presbyterian Theological Seminary,,122,122,20,18,12,9,72,24,0,0,3,1,229,174
"Loyola Marymount University Department of Theological
Studies",,0,0,46,33,47,37,0,0,0,0,0,0,93,70
"Lubbock Christian University College of Biblical Studies
and Behavioral Sciences",,23,19,17,14,11,11,0,0,0,0,0,0,51,44
Luther Seminary,,416,338,10,9,146,92,87,29,100,86,47,21,806,575
Lutheran School of Theology at Chicago,,147,128,0,0,25,15,25,8,74,71,13,3,284,225
Lutheran Theological Seminary (SK),,15,3,0,0,2,1,0,0,5,3,9,3,31,10
Lutheran Theological Seminary at Gettysburg,,107,91,8,4,16,9,0,0,28,7,0,0,159,111
Lutheran Theological Seminary at Philadelphia,,134,101,15,8,20,11,75,25,61,33,27,10,332,188
Lutheran Theological Southern Seminary,,117,103,0,0,17,13,0,0,7,4,0,0,141,120
M. Christopher White School of Divinity,,194,119,0,0,0,0,23,8,0,0,0,0,217,127
McCormick Theological Seminary,,98,76,13,8,27,20,83,28,1,1,19,5,241,138
McGill University Faculty of Religious Studies,,32,32,0,0,16,16,0,0,44,44,0,0,92,92
McMaster Divinity College,,55,38,0,0,49,33,0,0,53,53,0,0,157,124
Meadville Lombard Theological School,,83,59,0,0,3,2,7,2,0,0,0,0,93,63
Memphis Theological Seminary,,226,199,0,0,31,24,22,7,0,0,0,0,279,230
Methodist Theological School in Ohio,,149,121,49,38,13,10,21,7,0,0,13,5,245,181
Mid-America Reformed Seminary,,25,21,0,0,2,2,0,0,0,0,0,0,27,23
Midwestern Baptist Theological Seminary,,132,74,87,50,31,13,321,147,24,24,0,0,595,308
Montreal School of Theology,,29,26,0,0,0,0,0,0,0,0,0,0,29,26
Moody Theological Seminary and Graduate School,,139,67,171,66,0,0,0,0,0,0,0,0,310,133
"Moody Theological Seminary and Graduate School -
Michigan",,48,34,49,43,22,14,0,0,0,0,0,0,119,91
Moravian Theological Seminary,,38,32,25,17,19,11,0,0,0,0,24,6,106,66
Mount Angel Seminary,,107,107,0,0,31,31,0,0,0,0,18,18,156,156
