col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2010,2011
Canadian Reformed Theological Seminary,Associate,Candidate
Carolina Graduate School of Divinity,Candidate,Accredited
Concordia Lutheran Theological Seminary (ON),Candidate,Accredited
Hazelip School of Theology,Candidate,Accredited
Inter-American Adventist Theological Seminary,Candidate,Accredited
Moody Theological Seminary and Graduate School,Associate,Candidate
Redeemer Theological Seminary,Associate,Candidate
Shepherd University School of Theology,Associate,Candidate
The Seattle School of Theology and Psychology,Associate,Candidate
World Mission University,Associate,Candidate
