"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2011",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,2,,4,,3,,4,,5,,13,,7,
African Methodist Episcopal,,68,,551,,22,,43,,55,,266,,84,
African Methodist Episcopal Zion,,29,,111,,3,,7,,16,,50,,37,
American Baptist Churches USA,,70,,438,,24,,63,,65,,292,,86,
Anglican Church of Canada,,3,,6,,2,,2,,10,,23,,13,
"Anglican, Other",,30,,138,,13,,39,,34,,143,,49,
Assemblies of God,,74,,379,,40,,283,,67,,521,,106,
Associate Reformed Presbyterian Church,,8,,54,,5,,10,,6,,28,,11,
Associated Gospel Churches of Canada,,1,,1,,2,,2,,2,,2,,4,
Baptist,,109,,1601,,65,,499,,109,,1140,,139,
Baptist Convention of Ontario and Quebec,,1,,6,,1,,1,,2,,9,,2,
Baptist General Association of Virginia,,3,,27,,1,,11,,3,,24,,4,
Baptist General Conference,,33,,135,,20,,81,,34,,159,,46,
Baptist General Convention of Texas,,5,,339,,2,,21,,4,,186,,7,
Baptist Missionary Association of America,,26,,67,,6,,18,,16,,55,,37,
Baptist State Convention of North Carolina,,3,,26,,2,,2,,3,,4,,6,
"Brethren Church (Ashland, Ohio)",,3,,10,,2,,4,,4,,22,,4,
Brethren in Christ Church,,10,,19,,4,,8,,7,,11,,13,
Buddhist,,5,,14,,2,,4,,10,,25,,13,
Byzantine Catholic Archeparchy of Pittsburgh,,1,,8,,2,,2,,4,,12,,6,
Canadian Baptist of Western Canada,,0,,0,,0,,0,,2,,2,,2,
Canadian Convention of Southern Baptists,,0,,0,,0,,0,,0,,0,,0,
Canadian Reformed Churches,,2,,3,,1,,2,,2,,3,,4,
Christian and Missionary Alliance,,32,,192,,23,,113,,30,,215,,48,
Christian Brethren (Plymouth Brethren),,4,,5,,3,,3,,11,,18,,13,
Christian Church (Disciples of Christ),,60,,384,,16,,43,,61,,218,,85,
Christian Churches and Churches of Christ,,25,,187,,15,,131,,22,,257,,32,
Christian Methodist Episcopal,,26,,101,,5,,5,,15,,83,,34,
Christian Reformed Church,,30,,194,,9,,35,,33,,120,,45,
"Church of God (Anderson, Indiana)",,31,,83,,13,,41,,25,,85,,45,
"Church of God (Cleveland, Tennessee)",,16,,103,,12,,63,,15,,51,,32,
Church of God in Christ,,38,,115,,15,,17,,24,,80,,49,
Church of the Brethren,,10,,66,,4,,5,,11,,41,,21,
Church of the Nazarene,,35,,285,,19,,125,,41,,203,,59,
Churches of Christ,,32,,200,,14,,124,,46,,220,,60,
"Churches of God, General Conference",,21,,36,,10,,23,,11,,25,,28,
Conference of Mennonites,,2,,4,,1,,1,,1,,2,,3,
Conservative Baptist Association of America,,18,,65,,9,,38,,19,,99,,25,
Convention of Atlantic Baptist Churches,,0,,0,,0,,0,,1,,1,,1,
Cooperative Baptist Fellowship,,13,,160,,4,,5,,14,,44,,22,
Cumberland Presbyterian Church,,8,,45,,1,,1,,5,,9,,11,
Episcopal Church,,77,,703,,35,,104,,95,,787,,115,
Evangelical Church in Canada,,1,,1,,1,,1,,1,,1,,3,
Evangelical Congregational Church,,8,,22,,5,,9,,9,,11,,15,
Evangelical Covenant Church,,23,,168,,14,,80,,30,,127,,38,
Evangelical Formosan Church,,2,,7,,1,,1,,2,,9,,4,
Evangelical Free Church of America,,38,,224,,25,,149,,36,,354,,57,
Evangelical Free Church of Canada,,0,,0,,0,,0,,0,,0,,0,
Evangelical Lutheran Church in America,,59,,1203,,30,,79,,80,,668,,100,
