"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2011",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,2,,14,,0,,0,,9,,21,,9,
Evangelical Presbyterian Church,,0,,0,,0,,0,,0,,0,,0,
Fellowship of Evangelical Baptist Churches in Canada,,6,,32,,1,,9,,6,,43,,8,
Fellowship of Grace Brethren Churches,,1,,1,,0,,0,,2,,3,,2,
Foursquare Gospel Church,,1,,1,,1,,1,,2,,3,,3,
Free Methodist Church,,1,,4,,0,,0,,7,,15,,7,
"Friends, Quaker",,0,,0,,0,,0,,1,,1,,1,
General Association of General Baptists,,0,,0,,0,,0,,0,,0,,0,
General Association of Regular Baptist Churches,,0,,0,,0,,0,,0,,0,,0,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
General Church of New Jerusalem,,0,,0,,0,,0,,0,,0,,0,
Greek Orthodox Archdiocese of America,,0,,0,,0,,0,,2,,2,,2,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,0,,0,,0,
Independent Baptist,,2,,7,,0,,0,,4,,14,,5,
Independent Methodist,,1,,2,,0,,0,,1,,1,,1,
Inter/Multidenominational,,1,,3,,1,,3,,3,,8,,3,
Jewish,,0,,0,,0,,0,,4,,4,,4,
Korean American Presbyterian Church,,1,,9,,1,,27,,2,,12,,2,
Lutheran Church-Canada,,4,,24,,1,,5,,9,,18,,10,
Lutheran Church-Missouri Synod,,1,,7,,0,,0,,2,,2,,2,
"Lutheran, Other",,5,,6,,1,,1,,5,,11,,8,
Mennonite Brethren Church in North America,,8,,28,,4,,30,,9,,43,,10,
Mennonite Church Canada,,3,,6,,1,,2,,12,,25,,13,
Mennonite Church USA,,0,,0,,0,,0,,0,,0,,0,
"Mennonite, Other",,3,,6,,1,,10,,5,,11,,5,
Missionary Church in Canada,,1,,3,,1,,2,,3,,7,,4,
Moravian Church in North America,,0,,0,,0,,0,,1,,1,,1,
Muslim,,0,,0,,1,,2,,3,,3,,3,
National Association of Congregational Christian Churches,,0,,0,,0,,0,,0,,0,,0,
National Baptist Convention,,0,,0,,0,,0,,1,,1,,1,
Nondenominational,,11,,77,,6,,26,,17,,145,,17,
North American Baptist Conference,,5,,13,,4,,8,,4,,15,,7,
Orthodox Church in America,,0,,0,,0,,0,,1,,1,,1,
Orthodox Presbyterian,,0,,0,,0,,0,,0,,0,,0,
"Orthodox, Other",,1,,4,,1,,1,,6,,16,,8,
Other,,18,,230,,8,,97,,25,,685,,26,
Pentecostal Assemblies of Canada,,8,,27,,7,,34,,16,,86,,18,
Presbyterian Church (U.S.A.),,1,,3,,0,,0,,3,,12,,3,
Presbyterian Church in America,,1,,1,,0,,0,,2,,9,,3,
Presbyterian Church in Canada,,16,,144,,6,,16,,14,,99,,21,
Progressive National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Reformed Church in America,,1,,1,,1,,1,,1,,3,,3,
Reformed Church in Canada,,1,,1,,0,,0,,3,,3,,4,
Reformed Episcopal Church,,0,,0,,0,,0,,0,,0,,0,
Reformed Presbyterian,,0,,0,,0,,0,,0,,0,,0,
Religious Society of Friends,,0,,0,,0,,0,,0,,0,,0,
Roman Catholic,,6,,138,,8,,122,,20,,492,,21,
Salvation Army,,4,,9,,2,,2,,6,,19,,10,
Seventh Day Baptist General Conference,,0,,0,,0,,0,,0,,0,,0,
