"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2011",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Lutheran Church in Canada,,4,,17,,0,,0,,13,,35,,14,
Evangelical Presbyterian Church,,27,,121,,15,,41,,27,,125,,44,
Fellowship of Evangelical Baptist Churches in Canada,,6,,32,,2,,10,,8,,45,,11,
Fellowship of Grace Brethren Churches,,4,,8,,2,,6,,8,,19,,9,
Foursquare Gospel Church,,20,,47,,15,,60,,18,,62,,30,
Free Methodist Church,,16,,58,,12,,27,,23,,75,,38,
"Friends, Quaker",,14,,55,,2,,12,,19,,38,,26,
General Association of General Baptists,,3,,8,,2,,3,,3,,13,,5,
General Association of Regular Baptist Churches,,5,,22,,6,,16,,10,,32,,14,
General Baptist State Convention of North Carolina,,2,,6,,2,,3,,1,,5,,2,
General Church of New Jerusalem,,0,,0,,0,,0,,1,,1,,1,
Greek Orthodox Archdiocese of America,,7,,83,,0,,0,,14,,31,,17,
Heritage Reformed Congregations (USA and Canada),,1,,3,,0,,0,,0,,0,,1,
Independent Baptist,,36,,103,,10,,22,,32,,130,,49,
Independent Methodist,,17,,71,,7,,13,,16,,130,,24,
Inter/Multidenominational,,33,,182,,11,,110,,24,,195,,42,
Jewish,,11,,17,,0,,0,,26,,64,,31,
Korean American Presbyterian Church,,25,,211,,8,,91,,22,,159,,32,
Lutheran Church-Canada,,4,,24,,1,,5,,12,,25,,13,
Lutheran Church-Missouri Synod,,25,,502,,14,,38,,37,,461,,50,
"Lutheran, Other",,44,,109,,18,,36,,41,,165,,65,
Mennonite Brethren Church in North America,,12,,34,,9,,43,,15,,57,,19,
Mennonite Church Canada,,4,,9,,1,,2,,14,,27,,16,
Mennonite Church USA,,18,,109,,10,,28,,26,,116,,36,
"Mennonite, Other",,15,,29,,4,,16,,20,,39,,26,
Missionary Church in Canada,,5,,9,,3,,6,,7,,13,,9,
Moravian Church in North America,,5,,16,,2,,4,,9,,21,,11,
Muslim,,4,,4,,2,,4,,20,,88,,20,
National Association of Congregational Christian Churches,,8,,12,,2,,2,,7,,15,,12,
National Baptist Convention,,45,,200,,15,,32,,38,,106,,60,
Nondenominational,,134,,"2,462",,83,,"1,810",,129,,"2,550",,160,
North American Baptist Conference,,16,,30,,11,,22,,15,,33,,25,
Orthodox Church in America,,4,,45,,1,,1,,10,,55,,12,
Orthodox Presbyterian,,11,,44,,7,,11,,15,,48,,19,
"Orthodox, Other",,14,,68,,6,,9,,28,,88,,39,
Other,,156,,"3,185",,99,,"1,756",,171,,"6,371",,192,
Pentecostal Assemblies of Canada,,12,,31,,8,,35,,20,,92,,26,
Presbyterian Church (U.S.A.),,106,,"1,446",,56,,209,,100,,"1,118",,135,
Presbyterian Church in America,,48,,822,,25,,248,,52,,655,,64,
Presbyterian Church in Canada,,18,,146,,6,,16,,19,,106,,27,
Progressive National Baptist Convention,,17,,35,,3,,5,,15,,18,,29,
Reformed Church in America,,32,,232,,16,,32,,32,,89,,49,
Reformed Church in Canada,,1,,1,,0,,0,,3,,3,,4,
Reformed Episcopal Church,,4,,5,,0,,0,,4,,5,,8,
Reformed Presbyterian,,14,,55,,6,,18,,15,,46,,20,
Religious Society of Friends,,8,,14,,5,,7,,11,,28,,19,
Roman Catholic,,89,,"2,778",,63,,"1,177",,121,,"3,055",,151,
Salvation Army,,13,,23,,8,,9,,18,,46,,27,
Seventh Day Baptist General Conference,,6,,7,,0,,0,,0,,0,,6,
