Membership Status,col_1,2012,2017,2020,2021
Accredited,United States,209,216,224,226
,Canada,33,33,34,34
,Total,242,249,258,260
Candidate,United States,9,9,5,2
,Canada,1,2,1,0
,Total,10,11,6,2
Associate,United States,17,6,8,7
,Canada,6,3,3,3
,Total,23,9,11,10
Totals,United States,235,231,237,235
,Canada,40,38,38,37
,All Schools,275,269,275,272
