All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Executive Vice President,,,
Number,19,16,14
Average Salary,127123,147565,172101
Median Salary,117800,130000,170358
Average Salary and Housing,130955,-,174526
Average Benefits,12589,9145,17479
Average Pension,9540,12927,17649
Total Compensation Average,153085,169638,209655
Total Compensation 25th Percentile,84168,114290,181401
Total Compensation Median,131250,158667,207137
Total Compensation 75th Percentile,205516,182545,237420
Chief Development Officer,,,
Number,71,31,24
Average Salary,108879,115181,132577
Median Salary,97200,107000,135000
Average Salary and Housing,111023,116342,134594
Average Benefits,10447,11862,17042
Average Pension,9170,9413,11513
Total Compensation Average,130641,137618,163150
Total Compensation 25th Percentile,87786,90153,111163
Total Compensation Median,120255,129133,171408
Total Compensation 75th Percentile,158386,179564,189491
Development Professional Staff,,,
Number,61,35,53
Average Salary,71188,78534,83437
Median Salary,69540,68400,83200
Average Salary and Housing,73672,-,83709
Average Benefits,10212,13654,12939
Average Pension,6316,6477,7747
Total Compensation Average,90201,98666,104395
Total Compensation 25th Percentile,67956,72988,85899
Total Compensation Median,85505,89743,100593
Total Compensation 75th Percentile,107479,111991,117340
Chief Financial Officer,,,
Number,88,36,30
Average Salary,104314,109596,128015
Median Salary,100287,96000,130000
Average Salary and Housing,105917,110596,130147
Average Benefits,11240,11528,13550
Average Pension,8414,8246,10739
Total Compensation Average,125571,130371,154437
Total Compensation 25th Percentile,81983,78009,102710
Total Compensation Median,113343,108183,167001
Total Compensation 75th Percentile,163938,155392,187616
