Degree Category,col_1,White,col_3,col_4,Multi-Racial,col_6,col_7,Not Reported,col_9,col_10,Total,col_12,col_13
,Degree Program,M,F,O,M,F,O,M,F,O,M,F,O
Master's Degree Programs,,,,,,,,,,,,,
MDiv,,2425,987,15,56,35,1,383,167,7,4296,1838,24
MA (prof),,1056,1060,0,24,35,0,210,207,3,1923,1957,8
MA (acad),,1108,541,5,58,31,2,248,141,3,2048,1075,14
MA (both),,160,62,0,4,3,0,69,37,0,312,171,0
Subtotal MA,,2324,1663,5,86,69,2,527,385,6,4283,3203,22
ThM/MTh/STM,,224,48,0,6,2,0,53,19,0,467,125,0
Doctoral Degree Programs,,,,,,,,,,,,,
DMin,,522,139,2,6,9,0,132,33,0,1212,394,3
Other Prof Dr,,84,16,0,1,0,0,4,5,0,147,53,0
"Subtotal DMin and Other
Prof Dr",,606,155,2,7,9,0,136,38,0,1359,447,3
PhD/ThD,,197,50,0,7,1,0,26,9,0,322,97,0
Total,,5776,2903,22,162,116,3,1125,618,13,10727,5710,49
