Code,Church/Denomination
COGGC,"Churches of God, General Conference"
CFMENI,Conference of Mennonites
CONVATLBAP,Convention of Atlantic Baptist Churches
BAPTCW,Converge Worldwide
CBF,Cooperative Baptist Fellowship
PCCUM,Cumberland Presbyterian Church
ECOPRESBY,ECO: A Covenant Order of Evangelical Presbyterians
EPISC,Episcopal Church
EVCHCA,Evangelical Church in Canada
EVCONG,Evangelical Congregational Church
EVCOV,Evangelical Covenant Church
EVFORM,Evangelical Formosan Church
EFCA,Evangelical Free Church of America
EVFRCC,Evangelical Free Church of Canada
ELCA,Evangelical Lutheran Church in America
ELCC,Evangelical Lutheran Church in Canada
EVPRCH,Evangelical Presbyterian Church
FEVBAPT,Fellowship of Evangelical Baptist Churches in Canada
FEGRACE,Fellowship of Grace Brethren Churches
FSQGCH,Foursquare Gospel Church
FRMECH,Free Methodist Church
FRNDQKR,"Friends, Quaker"
GENBAPT,General Association of General Baptists
BAPTREG,General Association of Regular Baptist Churches
GBAPTNC,General Baptist State Convention of North Carolina
GCNJER,General Church of New Jerusalem
GRORTH,Greek Orthodox Archdiocese of America
HERREF,Heritage Reformed Congregations (USA and Canada)
INDBAP,Independent Baptist
INMECH,Independent Methodist
INTER,Inter/Multidenominational
JEWISH,Jewish
KAPC,Korean American Presbyterian Church
KEHC,Korean Evangelical Holiness Church
KMCA,Korean Methodist Church in America
KPCA,Korean Presbyterian Church Abroad
KPCAK,Korean Presbyterian Church in America (Kosin)
LUTHCA,Lutheran Church-Canada
LUTHMS,Lutheran Church-Missouri Synod
LUTHOTH,"Lutheran, Other"
MBNA,Mennonite Brethren Church in North America
MNCHCA,Mennonite Church Canada
