"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2021",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Presbyterian Church in America,49,665,44,534,43,370,66,"1,569"
Presbyterian Church in Canada,11,66,9,31,7,32,17,129
Presbyterian Church International,10,18,5,22,7,27,16,67
"Presbyterian, Other",43,206,37,210,45,286,69,702
Progressive National Baptist Convention,11,11,2,2,8,10,17,23
Reformed Church in America,27,136,18,56,25,111,40,303
Reformed Church in Canada,4,4,1,1,2,2,7,7
Reformed Episcopal Church,1,6,5,5,2,2,6,13
Reformed Presbyterian,15,54,13,34,14,44,27,132
"Reformed, Other",21,67,18,29,16,33,30,129
Religious Society of Friends,8,15,6,11,3,5,12,31
"Religious Society of Friends, Other",1,1,0,0,0,0,1,1
Roman Catholic,83,"2,209",108,"2,520",83,999,144,"5,728"
Salvation Army,8,17,14,66,17,25,26,108
Seventh Day Baptist General Conference,2,3,2,2,2,5,5,10
Seventh-day Adventist,26,476,20,822,46,348,66,"1,646"
Southern Baptist Convention,53,"4,296",64,"3,492",52,"3,811",85,"11,599"
"Swedenborgian Church, General Convention",0,0,0,0,2,2,2,2
Ukrainian Orthodox Church of the USA,1,18,0,0,2,2,3,20
Union d'Eglises Baptistes Francaises au Canada,0,0,0,0,1,1,1,1
Unitarian Universalist,34,252,23,39,19,65,47,356
United Church of Canada,10,120,11,42,13,88,21,250
United Church of Christ,51,282,35,58,46,154,70,494
United Methodist Church,86,"1,841",82,549,94,859,126,"3,249"
United Pentecostal Church International,14,47,12,64,10,21,21,132
Venture Church Network,8,22,12,19,10,25,16,66
Wesleyan Church,24,154,26,144,24,96,45,394
Wisconsin Evangelical Lutheran Synod,2,135,1,1,7,56,9,192
Total,254,"29,065",249,"27,524",223,"21,944",269,"78,533"
