All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Professor,,Associate Professor,,Assistant Professor,,Non-Ranked Faculty,
Number,1256,72,803,86,582,81,64,13
Average Salary,89807,91000,78309,75547,64384,62605,67322,42496
Median Salary,84610,88637,77013,70227,65200,60309,62384,48600
Average Salary and Housing,93287,93244,80480,76750,66324,63631,70582,42496
Average Benefits,11894,5916,12279,3619,10158,3405,10279,2279
Average Pension,6699,5491,6593,5404,4990,4342,4922,1610
Total Compensation Average,111881,104651,99351,85774,81472,71379,85782,46384
"Total Compensation 25th
Percentile",86759,84098,81319,70563,66117,58407,58584,11907
Total Compensation Median,107072,101748,96736,78783,83075,68318,82054,48600
"Total Compensation 75th
Percentile",131730,118676,113368,96363,95870,83481,104268,78558
