All Member Schools,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,576,272,464
2Average Salary,89754,88465,92067
2Median Salary,84792,85560,85000
3Average Salary and Housing,93165,92414,94853
4Average Benefits,9855,12633,12920
5Average Pension,6102,7159,7086
6Total Compensation Average,109123,112207,114861
Total Compensation 25th Percentile,80375,88049,96324
Total Compensation Median,103500,108398,110210
Total Compensation 75th Percentile,126689,135875,132908
Associate Professor,,,
1Number,412,182,293
2Average Salary,77674,75909,79984
2Median Salary,75000,76407,78660
3Average Salary and Housing,79708,77688,82271
4Average Benefits,10476,11615,12766
5Average Pension,6194,6515,6897
6Total Compensation Average,96379,95819,101935
Total Compensation 25th Percentile,76407,76000,88233
Total Compensation Median,94911,94556,96736
Total Compensation 75th Percentile,113814,111715,114066
Assistant Professor,,,
1Number,347,136,179
2Average Salary,64946,61034,65194
2Median Salary,64929,63240,65828
3Average Salary and Housing,67131,62409,66682
4Average Benefits,8845,8144,11231
5Average Pension,5400,4473,4322
6Total Compensation Average,81377,75027,82236
Total Compensation 25th Percentile,64088,60102,70547
Total Compensation Median,80894,74225,84899
Total Compensation 75th Percentile,95900,91599,94952
Non-Ranked Faculty,,,
1Number,39,14,24
2Average Salary,67111,60838,57999
2Median Salary,61200,61200,55620
3Average Salary and Housing,70614,62552,59999
4Average Benefits,11508,6592,6097
5Average Pension,4648,5459,3259
6Total Compensation Average,86770,74604,69355
Total Compensation 25th Percentile,60000,56124,17750
Total Compensation Median,82181,81890,62384
Total Compensation 75th Percentile,104268,96567,88554
