All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2011,,2016,,2020,,2021,
Enrollment size,N,%,N,%,N,%,N,%
< 75,53,19%,58,22%,64,23%,64,24%
75 - 150,78,28%,83,31%,82,30%,80,29%
151 - 300,81,30%,69,26%,75,27%,69,25%
301 - 500,27,10%,27,10%,24,9%,30,11%
501 - 1000,16,6%,15,6%,14,5%,14,5%
> 1000,13,5%,15,6%,14,5%,14,5%
Not Reporting,7,3%,2,1%,2,1%,1,0%
Total,275,100%,269,100%,275,100%,272,100%
