Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, United States",,,,,,
Expenditures,,2016-17,2017-18,2018-19,2019-20,2020-21
,Instruction,11125,11854,11812,12359,11972
,Research,947,1082,1190,973,932
,Public Service,1413,1467,1425,1340,1395
,Library,1908,1974,2006,1972,1879
,Academic Support,2427,2518,2616,3140,3455
,Student Services,1921,2051,2211,2442,2358
,Admissions,1225,1164,1104,1070,1055
,Institutional Support,8953,9192,9359,8982,8522
,Operation and Maintenance of Plant,5164,5882,6002,6311,6915
,Scholarships and Fellowships,4630,4755,4802,4965,5196
,Auxiliary Enterprises,4035,4203,4076,4088,3785
,Total Expenditures,35787,37848,37850,38789,38682
"Full-time Equivalent Student, United States",,,,,,
Expenditures,,2016-17,2017-18,2018-19,2019-20,2020-21
,Instruction,16668,17061,17405,17456,17174
,Research,1334,1541,1740,1295,1355
,Public Service,2726,2513,2310,2588,2323
,Library,2683,2731,2819,2734,2654
,Academic Support,3606,3724,3839,4427,4934
,Student Services,2799,2843,3177,3299,3247
,Admissions,1834,1784,1720,1645,1665
,Institutional Support,13121,13213,13747,12808,12188
,Operation and Maintenance of Plant,7662,7964,8976,8728,9538
,Scholarships and Fellowships,6609,6705,6948,7177,7528
,Auxiliary Enterprises,6138,6130,5761,5455,5053
,Total Expenditures,52958,54037,55495,54756,55014
