All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2017,,,2018,,,2019,,,2020,,,2021,,
,,M,F,O,M,F,O,M,F,O,M,F,O,M,F,O
"Asian or Pacific
Islander",Professor,59,9,0,58,12,0,65,13,0,69,16,0,74,19,0
,Associate Professor,59,36,0,55,34,0,56,29,0,55,26,0,62,25,0
,Assistant Professor,48,21,0,45,20,0,43,25,0,54,27,0,52,28,0
,Others,9,7,0,7,4,0,7,4,0,12,4,0,12,5,0
,Total,175,73,0,165,70,0,171,71,0,190,73,0,200,77,0
Black Non-Hispanic,Professor,58,21,0,55,20,0,56,22,0,60,23,0,59,24,0
,Associate Professor,57,24,0,56,22,0,57,23,0,50,28,0,54,35,0
,Assistant Professor,39,42,0,37,42,0,39,48,0,41,44,0,47,46,0
,Others,17,13,0,17,10,0,16,12,0,11,10,0,9,7,0
,Total,171,100,0,165,94,0,168,105,0,162,105,0,169,112,0
Hispanic,Professor,40,9,0,35,8,0,35,7,0,35,9,0,36,9,0
,Associate Professor,34,8,0,38,6,0,39,5,0,39,3,0,47,5,0
,Assistant Professor,28,12,0,27,13,0,32,15,0,28,17,0,25,17,0
,Others,9,5,0,7,5,0,4,6,0,3,9,0,5,6,0
,Total,111,34,0,107,32,0,110,33,0,105,38,0,113,37,0
"American Indian,
Alaskan Native or
Inuit",Professor,2,0,0,1,0,0,1,0,0,1,0,0,1,1,0
,Associate Professor,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
,Assistant Professor,1,1,0,1,1,0,2,0,0,1,0,0,1,0,0
,Others,0,0,0,0,2,0,2,1,0,1,1,0,2,3,0
,Total,4,1,0,3,3,0,5,1,0,4,1,0,5,4,0
"Visa or Nonresident
Alien",Professor,7,1,0,4,1,0,1,1,0,2,0,0,3,0,0
,Associate Professor,5,2,0,7,2,0,6,2,0,5,2,0,3,2,0
,Assistant Professor,3,4,0,2,5,0,3,5,0,4,4,0,4,2,0
,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Total,15,7,0,13,8,0,10,8,0,11,6,0,10,5,0
White Non-Hispanic,Professor,1019,223,0,988,216,0,949,202,0,914,198,0,869,186,0
,Associate Professor,492,176,0,470,182,0,450,174,0,432,154,0,438,157,0
,Assistant Professor,357,135,0,336,125,0,314,117,0,276,128,0,245,134,0
,Others,145,69,0,143,65,0,136,68,0,125,58,0,116,45,0
,Total,2013,603,0,1937,588,0,1849,561,0,1747,538,0,1668,522,0
Multiracial,Professor,2,1,0,1,1,0,2,1,0,4,2,0,5,2,0
,Associate Professor,9,1,0,9,1,0,9,2,0,6,5,0,5,4,0
,Assistant Professor,2,4,0,1,4,0,3,4,0,3,2,0,2,2,0
,Others,2,1,0,1,1,0,0,2,0,0,2,0,0,1,0
,Total,15,7,0,12,7,0,14,9,0,13,11,0,12,9,0
Not Available,Professor,20,4,0,27,6,0,21,8,0,25,9,0,30,7,0
,Associate Professor,22,13,0,33,14,0,30,17,0,31,14,0,34,12,0
,Assistant Professor,28,10,0,32,13,0,35,11,0,33,13,0,30,13,0
,Others,11,3,0,15,3,0,13,4,0,11,2,0,8,2,0
,Total,81,30,0,107,36,0,99,40,0,100,38,0,102,34,0
Total Faculty,Professor,1207,268,0,1169,264,0,1130,254,0,1110,257,0,1077,248,0
,Associate Professor,679,260,0,669,261,0,647,252,0,619,232,0,644,240,0
,Assistant Professor,506,229,0,481,223,0,471,225,0,440,235,0,406,242,0
,Others,193,98,0,190,90,0,178,97,0,163,86,0,152,70,0
,Total,2585,855,0,2509,838,0,2426,828,0,2332,810,0,2279,800,0
