Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2011,,2016,,2020,,2021,
Enrollment size,N,%,N,%,N,%,N,%
< 75,23,58%,23,61%,23,61%,23,62%
75 - 150,12,30%,12,32%,9,24%,10,27%
151 - 300,2,5%,1,3%,4,11%,3,8%
301 - 500,1,3%,1,3%,1,3%,1,3%
501 - 1000,0,-,0,-,0,-,0,-
> 1000,0,-,0,-,0,-,0,-
Not Reporting,2,5%,1,3%,1,3%,0,-
Total,40,100%,38,100%,38,100%,37,100%
