"Table 4.1 Average Tuition and Fees Charged for Selected Degree Programs by Full-Time
Equivalent Enrollment",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States,,,,Canada,,,
,2020-21,,2021-22,,2020-21,,2021-22,
,Average,N,Average,N,Average,N,Average,N
Master's Degree Programs (MDiv),,,,,,,,
< 75,14957,82,16736,76,7661,22,7623,20
75 - 150,17788,66,16159,74,9360,8,9722,9
151 - 300,18790,44,19022,43,11453,4,12827,3
301 - 500,17508,15,18519,13,12150,1,12150,1
501 - 1000,15822,9,16006,9,0,0,0,0
> 1000,10323,7,11090,7,0,0,0,0
Doctoral Degree Programs (DMin),,,,,,,,
< 75,18492,45,19451,37,17744,6,18838,8
75 - 150,19013,45,17545,53,21740,6,22157,5
151 - 300,21381,30,22632,31,22277,2,20625,1
301 - 500,24832,13,24869,12,20628,1,20628,1
501 - 1000,26470,9,28791,8,0,0,0,0
> 1000,13868,8,13695,8,0,0,0,0
Doctoral Degree Programs (PhD/ThD),,,,,,,,
< 75,12782,5,10555,3,9797,4,9792,4
75 - 150,13148,10,14605,15,6926,2,7186,5
151 - 300,27659,24,27769,21,11960,2,17526,1
301 - 500,19967,9,22795,8,0,0,0,0
501 - 1000,18634,7,20796,7,0,0,0,0
> 1000,9383,8,9294,8,0,0,0,0
"Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.
N = Number reporting.",,,,,,,,
