col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Phillips Theological Seminary,ACCRED,I,W,OK,DISCPL,6651,117,10,11,169,81,11246
Phoenix Seminary,ACCRED,I,W,AZ,INTER,5310,1,6,21,275,228,9650
Pittsburgh Theological Seminary,ACCRED,I,W,PA,PCUSA,13592,262,13,21,240,138,11630
Pontifical College Josephinum,ACCRED,C,N,OH,RC,7895,36,5,5,17,17,28860
Pope St. John XXIII National Seminary,ACCRED,I,W,MA,RC,3588,6,9,19,41,14,38500
Portland Seminary,ACCRED,C,W,OR,INTER,2218,5,8,10,332,178,14612
Presbyterian Theological Seminary in America,ACCRED,I,A,CA,KPCA,1237,0,0,8,152,85,8956
Princeton Theological Seminary,ACCRED,I,W,NJ,PCUSA,62434,1459,41,56,333,322,19600
Providence Theological Seminary,ACCRED,C,W,MB,INTER,3691,0,9,11,184,87,12516
Puritan Reformed Theological Seminary,ACCRED,I,W,MI,HERREF,4088,2,8,8,270,107,7700
Queen's College Faculty of Theology,ASSOC,C,W,NL,ANGL,470,5,1,7,116,54,3025
Reformed Episcopal Seminary,ACCRED,I,W,PA,RFEPISC,797,1,8,9,21,11,12267
Reformed Presbyterian Theological Seminary,ACCRED,I,W,PA,RFPRES,1977,5,5,7,109,48,16830
Reformed Theological Seminary,ACCRED,I,W,MS,INTER,24137,103,36,59,1173,429,20870
Regent College,ACCRED,I,W,BC,INTER,8688,30,10,23,400,185,16003
Regent University School of Divinity,ACCRED,U,B,VA,INTER,12938,0,13,14,1089,741,14400
Regis College,ACCRED,I,W,ON,RC,3327,12,6,6,102,58,7713
Robert E. Webber Institute for Worship Studies,ACCRED,I,W,FL,INTER,917,0,1,12,160,154,0
Sacred Heart Major Seminary,ACCRED,I,W,MI,RC,5148,0,11,21,125,19,35137
Sacred Heart Seminary and School of Theology,ACCRED,I,V,WI,RC,7084,13,12,18,119,102,21764
Saint John's Seminary (MA),ACCRED,C,W,MA,RC,5961,47,6,6,80,64,26724
Saint John's University School of Theology and Seminary,ACCRED,C,W,MN,RC,3293,30,5,9,105,70,17910
Saint Mary Seminary and Graduate School of Theology,ACCRED,I,W,OH,RC,2809,1,9,14,115,93,10670
Saint Meinrad School of Theology,ACCRED,I,W,IN,RC,11953,59,18,23,176,119,34404
Saint Paul School of Theology,ACCRED,I,W,KS,UMC,4056,37,8,15,102,70,17974
Saint Paul Seminary School of Divinity,ACCRED,U,W,MN,RC,7344,41,8,8,149,89,25365
Saint Sophia Ukrainian Orthodox Theological Seminary,ASSOC,I,M,NJ,UKOCUSA,0,0,0,0,18,4,7900
Saint Vincent Seminary,ACCRED,C,W,PA,RC,6104,17,8,8,45,41,32061
Samuel DeWitt Proctor School of Theology,ACCRED,C,B,VA,BAPT,1912,0,12,17,315,268,15013
San Francisco Theological Seminary,ACCRED,U,W,CA,PCUSA,4472,39,8,11,112,47,18700
Seattle Pacific Seminary,ACCRED,U,N,WA,FRMECH,953,0,11,11,60,40,22032
The Seattle School of Theology and Psychology,ACCRED,I,W,WA,NONDEN,7646,0,9,14,309,259,16690
Seattle University School of Theology and Ministry,ACCRED,U,W,WA,INTER,2231,15,6,7,29,12,12789
Seminario Evangélico de Puerto Rico,ACCRED,I,H,PR,INTER,1143,1,4,19,133,104,4770
Seminary of the Southwest,ACCRED,I,W,TX,EPISC,9586,48,15,18,140,102,16713
