United States,col_1,col_2,col_3,col_4,col_5,col_6
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD
Applications,,,,,,
,2020,13873,13354,1015,4450,2080
,2021,11831,13848,878,4555,2127
Acceptances,,,,,,
2020,,9920,9524,682,2850,788
,% of applications,72%,71%,67%,64%,38%
2021,,8828,9607,628,3071,743
,% of applications,75%,69%,72%,67%,35%
New Enrollees,,,,,,
2020,,6958,6778,458,2236,567
,% of acceptances,70%,71%,67%,79%,72%
2021,,5999,6714,406,2453,542
,% of acceptances,68%,70%,65%,80%,73%
