All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Field Education,,,
Number,65,30,22
Average Salary,65737,68145,70565
Median Salary,65000,64975,72500
Average Salary and Housing,69203,69045,71840
Average Benefits,9746,10200,25409
Average Pension,5093,5815,4382
Total Compensation Average,84043,85061,101633
Total Compensation 25th Percentile,65249,68000,68264
Total Compensation Median,82755,78910,86994
Total Compensation 75th Percentile,108348,107166,119181
Director of Continuing Education,,,
Number,22,7,7
Average Salary,81233,63104,74029
Median Salary,80664,65443,64250
Average Salary and Housing,82597,-,75572
Average Benefits,12101,12929,9927
Average Pension,7116,5227,7128
Total Compensation Average,101816,81260,92628
Total Compensation 25th Percentile,83890,58300,64672
Total Compensation Median,94557,92212,86812
Total Compensation 75th Percentile,114400,106364,96859
Director of Formation,,,
Number,68,16,18
Average Salary,64152,88301,85190
Median Salary,60984,84926,88450
Average Salary and Housing,71975,90210,87907
Average Benefits,13422,15310,17084
Average Pension,7383,6915,7319
Total Compensation Average,92780,112436,112311
Total Compensation 25th Percentile,75910,79320,93669
Total Compensation Median,86508,104548,103244
Total Compensation 75th Percentile,103688,141334,136144
Head Librarian - Admin./Faculty,,,
Number,73,27,26
Average Salary,68713,67876,75227
Median Salary,65585,65146,75000
Average Salary and Housing,70423,69209,76166
Average Benefits,10202,13210,11756
Average Pension,6593,6180,5220
Total Compensation Average,87219,88601,93142
Total Compensation 25th Percentile,63896,64607,71094
Total Compensation Median,81711,82768,96659
Total Compensation 75th Percentile,105057,103859,108179
