Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, All Member Schools",,,,,,
Expenditures,,2016-17,2017-18,2018-19,2019-20,2020-21
,Instruction,"10,936","11,532","11,584","11,971","11,683"
,Research,933,"1,067","1,126","1,288",949
,Public Service,"1,334","1,334","1,468","1,302","1,348"
,Library,"1,916","1,940","1,988","1,907","1,861"
,Academic Support,"2,311","2,427","2,583","3,166","3,224"
,Student Services,"1,856","1,963","2,162","2,304","2,208"
,Admissions,"1,233","1,180","1,131","1,102","1,078"
,Institutional Support,"8,695","8,892","9,153","8,746","8,356"
,Operation and Maintenance of Plant,"5,021","5,506","5,705","6,016","6,535"
,Scholarships and Fellowships,"4,160","4,257","4,363","4,592","4,759"
,Auxiliary Enterprises,"3,793","3,949","4,002","3,820","3,708"
,Total Expenditures,"34,429","36,102","36,741","37,380","37,179"
"Full-time Equivalent Student, All Member Schools",,,,,,
Expenditures,,2016-17,2017-18,2018-19,2019-20,2020-21
,Instruction,"17,082","17,269","17,568","17,155","17,200"
,Research,"1,289","1,498","1,626","1,573","1,340"
,Public Service,"2,601","2,297","2,310","2,468","2,207"
,Library,"3,169","3,093","3,215","2,706","2,678"
,Academic Support,"3,468","3,617","3,809","4,435","4,695"
,Student Services,"3,227","3,187","3,472","3,137","3,072"
,Admissions,"1,883","1,844","1,756","1,690","1,755"
,Institutional Support,"13,748","13,685","14,411","12,718","12,301"
,Operation and Maintenance of Plant,"7,993","7,961","9,017","8,577","9,324"
,Scholarships and Fellowships,"5,989","6,053","6,380","6,640","7,007"
,Auxiliary Enterprises,"5,882","5,890","5,705","5,213","5,164"
,Total Expenditures,"53,941","54,300","56,333","53,523","54,245"
