Table 1.6 Number of Accredited Schools Offering Approved Degrees by Category,col_1,col_2
All Member Schools,,
Degree Category,2020-2021,2021-2022
Master's Degree Programs (MDiv),247,247
Master's Degree Programs (MA),248,250
Master's Degree Programs (ThM/STM),93,93
Doctoral Degree Programs (DMin and Other Professional Doctorate),168,170
Doctoral Degree Programs (PhD/ThD),66,67
United States,,
Degree Category,2020-2021,2021-2022
Master's Degree Programs (MDiv),214,214
Master's Degree Programs (MA),216,218
Master's Degree Programs (ThM/STM),74,74
Doctoral Degree Programs (DMin and Other Professional Doctorate),151,153
Doctoral Degree Programs (PhD/ThD),58,58
Canada,,
Degree Category,2020-2021,2021-2022
Master's Degree Programs (MDiv),33,33
Master's Degree Programs (MA),32,32
Master's Degree Programs (ThM/STM),19,19
Doctoral Degree Programs (DMin and Other Professional Doctorate),17,17
Doctoral Degree Programs (PhD/ThD),8,9
