col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2020,2021
Christ the King Seminary,Accredited,Withdrawn
Midwest University Graduate School of Theology,Associate,Withdrawn
NAIITS An Indigenous Learning Community,Candidate,Accredited
Oakwood University School of Theology Graduate Department,Candidate,Accredited
Robert E. Webber Institute for Worship Studies,Candidate,Accredited
Taylor College and Seminary,Accredited,Withdrawn
The King's Seminary,Candidate,Accredited
