All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2011,,2016,,2020,,2021,
Enrollment size,N,%,N,%,N,%,N,%
< 75,91,33%,108,40%,111,40%,104,38%
75 - 150,93,34%,79,29%,76,28%,86,32%
151 - 300,44,16%,45,17%,52,19%,49,18%
301 - 500,25,9%,18,7%,17,6%,15,6%
501 - 1000,8,3%,10,4%,9,3%,9,3%
> 1000,7,3%,7,3%,8,3%,8,3%
Not Reporting,7,3%,2,1%,2,1%,1,0%
Total,275,100%,269,100%,275,100%,272,100%
