"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,
,Degree Program,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total
Multi-Racial,,,,,,,,,,,,,,,,,,,,,
,MDiv,259,138,0,397,332,229,0,561,382,218,0,600,397,260,0,657,334,204,7,545
,MA,192,231,0,423,236,269,0,505,271,320,0,591,315,352,0,667,250,257,2,509
,ThM / STM,21,4,0,25,24,6,0,30,13,5,0,18,20,9,0,29,14,5,0,19
,DMin and Other Dr,48,22,0,70,71,34,0,105,105,41,0,146,113,58,0,171,106,62,2,170
,PhD / ThD,58,26,0,84,62,18,0,80,67,24,0,91,53,17,0,70,49,24,0,73
,Non-Degrees,19,18,0,37,37,41,0,78,49,41,0,90,81,22,0,103,38,19,0,57
,Subtotal,597,439,0,1036,762,597,0,1359,887,649,0,1536,979,718,0,1697,791,571,11,1373
Not Reported,,,,,,,,,,,,,,,,,,,,,
,MDiv,1381,677,0,2058,1854,968,0,2822,2036,1000,0,3036,2016,1050,0,3066,1861,939,86,2886
,MA,1020,1126,0,2146,1638,1388,0,3026,1782,1578,0,3360,1725,1636,0,3361,1743,1792,67,3602
,ThM / STM,87,13,0,100,129,36,0,165,210,42,0,252,165,30,0,195,198,45,5,248
,DMin and Other Dr,661,164,0,825,663,196,0,859,954,237,0,1191,873,270,0,1143,1011,324,5,1340
,PhD / ThD,243,78,0,321,328,121,0,449,345,122,0,467,214,55,0,269,200,50,1,251
,Non-Degrees,517,510,0,1027,697,470,0,1167,572,340,0,912,518,405,0,923,555,415,75,1045
,Subtotal,3909,2568,0,6477,5309,3179,0,8488,5899,3319,0,9218,5511,3446,0,8957,5568,3565,239,9372
Total,,,,,,,,,,,,,,,,,,,,,
,MDiv,20196,8367,0,28563,21554,9294,0,30848,21544,9259,0,30803,21156,9299,0,30455,19962,8867,271,29100
,MA,12519,10784,0,23303,14723,11812,0,26535,14311,12028,0,26339,14605,12662,0,27267,14615,12829,147,27591
,ThM / STM,1551,294,0,1845,1523,310,0,1833,1051,191,0,1242,1052,198,0,1250,1091,222,20,1333
,DMin and Other Dr,7426,2102,0,9528,7591,2301,0,9892,8239,2511,0,10750,8221,2754,0,10975,8741,3090,17,11848
,PhD / ThD,2968,928,0,3896,3095,942,0,4037,3180,940,0,4120,3024,915,0,3939,3054,953,10,4017
,Non-Degrees,3200,2713,0,5913,2932,1903,0,4835,2705,1717,0,4422,2664,1684,0,4348,2736,1918,92,4746
Total,,47860,25188,0,73048,51418,26562,0,77980,51030,26646,0,77676,50722,27512,0,78234,50199,27879,557,78635
