United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2017,,,2018,,,2019,,,2020,,,2021,,
,,M,F,O,M,F,O,M,F,O,M,F,O,M,F,O
"Asian or Pacific
Islander",Professor,55,9,0,56,11,0,63,12,0,68,15,0,73,17,0
,Associate Professor,55,36,0,52,34,0,54,28,0,53,24,0,60,24,0
,Assistant Professor,46,19,0,43,17,0,40,23,0,50,26,0,47,26,0
,Others,9,5,0,7,3,0,7,3,0,12,4,0,12,5,0
,Total,165,69,0,158,65,0,164,66,0,183,69,0,192,72,0
Black Non-Hispanic,Professor,58,21,0,55,20,0,56,22,0,60,23,0,59,23,0
,Associate Professor,56,24,0,55,22,0,56,22,0,49,27,0,53,35,0
,Assistant Professor,39,42,0,37,42,0,39,48,0,41,44,0,47,46,0
,Others,17,13,0,17,10,0,16,12,0,11,10,0,9,7,0
,Total,170,100,0,164,94,0,167,104,0,161,104,0,168,111,0
Hispanic,Professor,40,9,0,35,8,0,35,7,0,35,9,0,36,9,0
,Associate Professor,34,8,0,38,6,0,39,5,0,39,3,0,47,5,0
,Assistant Professor,28,12,0,27,13,0,31,15,0,27,17,0,24,17,0
,Others,9,5,0,7,5,0,4,6,0,3,9,0,5,6,0
,Total,111,34,0,107,32,0,109,33,0,104,38,0,112,37,0
"American Indian,
Alaskan Native or
Inuit",Professor,2,0,0,1,0,0,1,0,0,1,0,0,1,1,0
,Associate Professor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Assistant Professor,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
,Total,3,1,0,2,2,0,1,0,0,1,0,0,1,2,0
"Visa or Nonresident
Alien",Professor,7,1,0,4,1,0,1,1,0,2,0,0,3,0,0
,Associate Professor,5,1,0,7,1,0,6,1,0,5,1,0,3,2,0
,Assistant Professor,3,4,0,2,5,0,3,5,0,4,4,0,4,2,0
,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,Total,15,6,0,13,7,0,10,7,0,11,5,0,10,5,0
White Non-Hispanic,Professor,961,214,0,932,205,0,896,191,0,865,187,0,831,178,0
,Associate Professor,448,162,0,432,165,0,414,160,0,398,142,0,405,145,0
,Assistant Professor,344,120,0,323,113,0,304,106,0,266,115,0,223,118,0
,Others,135,61,0,134,58,0,126,61,0,114,52,0,109,42,0
,Total,1888,557,0,1821,541,0,1740,518,0,1643,496,0,1568,483,0
Multiracial,Professor,2,1,0,1,1,0,2,1,0,3,2,0,4,2,0
,Associate Professor,8,0,0,8,0,0,8,1,0,5,4,0,4,3,0
,Assistant Professor,2,4,0,1,4,0,3,4,0,3,2,0,2,2,0
,Others,2,1,0,1,1,0,0,2,0,0,1,0,0,1,0
,Total,14,6,0,11,6,0,13,8,0,11,9,0,10,8,0
Not Available,Professor,6,1,0,8,3,0,6,5,0,7,6,0,13,5,0
,Associate Professor,11,5,0,12,3,0,9,4,0,14,3,0,13,1,0
,Assistant Professor,9,4,0,11,3,0,14,4,0,13,6,0,11,5,0
,Others,8,2,0,11,2,0,9,2,0,8,0,0,5,0,0
,Total,34,12,0,42,11,0,38,15,0,42,15,0,42,11,0
Total Faculty,Professor,1131,256,0,1092,249,0,1060,239,0,1041,242,0,1020,235,0
,Associate Professor,618,236,0,605,231,0,586,221,0,563,204,0,585,215,0
,Assistant Professor,471,206,0,444,198,0,434,205,0,404,214,0,358,216,0
,Others,180,87,0,177,80,0,162,86,0,148,76,0,140,63,0
,Total,2400,785,0,2318,758,0,2242,751,0,2156,736,0,2103,729,0
