Table 4.4 Expenditures as a Percent of Total Expenditures,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2016-17,2017-18,2018-19,2019-20,2020-21
Instruction,30%,30%,30%,31%,30%
Research,1%,1%,1%,0%,1%
Public Service,1%,1%,1%,1%,1%
Library,4%,4%,4%,4%,3%
Academic Support,6%,6%,6%,6%,7%
Student Services,4%,4%,5%,5%,5%
Admissions,2%,2%,2%,2%,2%
Institutional Support,22%,21%,21%,21%,20%
Operation and Maintenance of Plant,10%,10%,11%,11%,11%
Scholarships and Fellowships,12%,12%,12%,13%,14%
Auxiliary Enterprises,8%,8%,8%,7%,7%
United States,,,,,
,2016-17,2017-18,2018-19,2019-20,2020-21
Instruction,29%,30%,30%,30%,30%
Research,1%,1%,1%,0%,1%
Public Service,1%,1%,1%,1%,1%
Library,4%,4%,4%,4%,3%
Academic Support,6%,6%,6%,7%,7%
Student Services,4%,5%,5%,5%,5%
Admissions,2%,2%,2%,2%,2%
Institutional Support,22%,21%,21%,21%,20%
Operation and Maintenance of Plant,10%,10%,11%,11%,10%
Scholarships and Fellowships,12%,12%,13%,13%,14%
Auxiliary Enterprises,8%,8%,8%,7%,7%
Canada,,,,,
,2016-17,2017-18,2018-19,2019-20,2020-21
Instruction,37%,37%,36%,36%,37%
Research,0%,0%,0%,0%,0%
Public Service,1%,1%,1%,1%,1%
Library,4%,4%,4%,4%,5%
Academic Support,3%,4%,4%,3%,2%
Student Services,2%,2%,2%,2%,2%
Admissions,4%,4%,3%,4%,4%
Institutional Support,21%,22%,22%,21%,21%
Operation and Maintenance of Plant,17%,14%,16%,17%,16%
Scholarships and Fellowships,6%,6%,6%,6%,8%
Auxiliary Enterprises,6%,6%,6%,6%,6%
