"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2021",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
"Abilene Christian University Graduate School of
Theology",,73,35,68,26,0,0,35,12,0,0,2,1,178,74
Academy for Jewish Religion,,51,18,6,4,0,0,0,0,0,0,0,0,57,22
Acadia Divinity College,,44,27,38,13,0,0,33,11,0,0,65,21,180,72
Alliance Theological Seminary,,246,115,222,110,0,0,90,30,0,0,12,5,570,260
Ambrose Seminary,,34,34,66,50,0,0,0,0,0,0,0,0,100,84
"America Evangelical University Graduate School of
Theology",,33,33,17,16,0,0,13,6,27,27,0,0,90,82
Anabaptist Mennonite Biblical Seminary,,55,30,53,19,0,0,0,0,0,0,0,0,108,49
Anderson University School of Theology,,27,19,27,16,0,0,0,0,0,0,0,0,54,35
Antiochian House of Studies,,16,12,0,0,105,101,0,0,9,9,70,70,200,192
Aquinas Institute of Theology,,20,17,38,27,0,0,34,11,0,0,9,9,101,64
Asbury Theological Seminary,,658,475,592,451,20,7,294,98,106,106,19,13,1689,1150
Ashland Theological Seminary,,58,27,144,98,0,0,35,12,0,0,7,6,244,143
Assemblies of God Theological Seminary,,39,26,74,49,0,0,69,27,46,46,0,0,228,148
Associated Canadian Theological Schools,,48,26,262,131,4,1,32,11,0,0,27,8,373,177
Athenaeum of Ohio,,70,70,25,18,0,0,0,0,0,0,77,46,172,134
Atlantic School of Theology,,59,35,14,3,0,0,0,0,0,0,17,5,90,43
Augustine Institute,,0,0,362,166,0,0,0,0,0,0,0,0,362,166
Austin Presbyterian Theological Seminary,,72,63,67,35,0,0,47,16,0,0,12,1,198,115
Azusa Pacific Seminary,,115,76,38,22,0,0,18,6,0,0,0,0,171,104
B. H. Carroll Theological Institute,,19,11,83,63,0,0,8,3,37,37,0,0,147,114
"Baptist Missionary Association Theological
Seminary",,20,12,33,18,0,0,0,0,0,0,0,0,53,30
Baptist Seminary of Kentucky,,44,25,0,0,0,0,0,0,0,0,0,1,44,26
"Barry University Department of Theology and
Philosophy",,0,0,32,29,0,0,24,8,0,0,0,0,56,37
Beeson Divinity School,,112,98,10,9,0,0,14,5,0,0,0,0,136,112
Berkeley Divinity School,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley School of Theology (CA),,13,12,2,1,0,0,28,9,0,0,19,10,62,32
Bethany Theological Seminary,,23,15,27,18,0,0,0,0,0,0,25,13,75,46
Bethel Seminary,,111,46,197,34,0,0,69,23,0,0,17,5,394,108
"Bexley Hall Seabury-Western Theological Seminary
Federation, Inc.",,41,26,0,0,0,0,32,11,0,0,16,5,89,42
Boston College School of Theology and Ministry,,44,43,117,94,21,18,0,0,0,0,83,71,265,226
Boston University School of Theology,,165,159,51,49,8,5,64,21,51,51,3,1,342,286
Briercrest College and Seminary,,9,7,104,74,0,0,0,0,0,0,0,16,113,97
Brite Divinity School,,71,50,26,21,2,1,19,6,17,17,0,0,135,95
"Byzantine Catholic Seminary of SS. Cyril and
Methodius",,6,6,28,13,0,0,0,0,0,0,3,1,37,20
Calvin Theological Seminary,,78,73,53,40,28,28,15,5,33,33,40,14,247,193
Campbell University Divinity School,,70,58,26,19,0,0,29,10,0,0,0,0,125,87
Canadian Baptist Theological Seminary,,19,11,14,9,0,0,0,0,0,0,1,1,34,21
Canadian Reformed Theological Seminary,,30,29,0,0,0,0,0,0,0,0,1,1,31,30
Candler School of Theology,,297,272,59,46,14,9,88,29,3,3,5,2,466,361
Carey Theological College,,29,15,16,9,0,0,17,6,0,0,41,23,103,53
"Catholic Distance University Graduate School of
Theology",,0,0,107,84,0,0,0,0,0,0,25,23,132,107
Catholic Theological Union,,100,86,82,56,0,0,22,7,0,0,3,1,207,150
"Catholic University of America School of Theology
and Religious Studies",,88,79,38,27,0,0,27,9,84,84,0,0,237,199
