Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2017,2018,2019,2020,2021
Master's Degree Programs,,,,,
MDiv,27011,29220,29162,28941,27664
MA (prof),11331,12314,12628,12787,13660
MA (acad),9990,12290,11738,12330,10356
MA (both),0,0,0,0,1572
Subtotal MA,21321,24604,24366,25117,25588
ThM/MTh/STM,1736,1739,1129,1159,1172
Doctoral Degree Programs,,,,,
DMin,8473,8442,9075,9183,10015
Other Prof Dr,791,1157,1401,1528,1552
Subtotal DMin and Other Prof Dr,9264,9599,10476,10711,11567
PhD/ThD,3531,3719,3811,3678,3773
Non-Degree Programs,,,,,
NonDegree,5014,3943,3683,3562,3966
Total,67877,72824,72627,73168,73730
Canada,,,,,
,2017,2018,2019,2020,2021
Master's Degree Programs,,,,,
MDiv,1552,1628,1641,1514,1436
MA (prof),817,791,830,945,1000
MA (acad),1165,1140,1143,1205,538
MA (both),0,0,0,0,465
Subtotal MA,1982,1931,1973,2150,2003
ThM/MTh/STM,109,94,113,91,161
Doctoral Degree Programs,,,,,
DMin,247,253,236,217,237
Other Prof Dr,17,40,38,47,44
Subtotal DMin and Other Prof Dr,264,293,274,264,281
PhD/ThD,365,318,309,261,244
Non-Degree Programs,,,,,
NonDegree,899,892,739,786,780
Total,5171,5156,5049,5066,4905
