All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD
Applications,,,,,,
,2020,14481,14296,1105,4571,2190
,2021,12350,14772,964,4666,2211
Acceptances,,,,,,
2020,,10395,10298,742,2933,856
,% of applications,72%,72%,67%,64%,39%
2021,,9230,10386,700,3136,798
,% of applications,75%,70%,73%,67%,36%
New Enrollees,,,,,,
2020,,7321,7338,500,2305,604
,% of acceptances,70%,71%,67%,79%,71%
2021,,6304,7356,465,2505,576
,% of acceptances,68%,71%,66%,80%,72%
