Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2017,2018,2019,2020,2021
Master's Degree Programs,,,,,
MDiv,28563,30848,30803,30455,29100
MA (prof),12148,13105,13458,13732,14660
MA (acad),11155,13430,12881,13535,10894
MA (both),0,0,0,0,2037
Subtotal MA,23303,26535,26339,27267,27591
ThM/MTh/STM,1845,1833,1242,1250,1333
Doctoral Degree Programs,,,,,
DMin,8720,8695,9311,9400,10252
Other Prof Dr,808,1197,1439,1575,1596
Subtotal DMin and Other Prof Dr,9528,9892,10750,10975,11848
PhD/ThD,3896,4037,4120,3939,4017
Non-Degree Programs,,,,,
NonDegree,5913,4835,4422,4348,4746
Total,73048,77980,77676,78234,78635
