Canada,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,57,9,6
2Average Salary,114433,98140,113813
2Median Salary,110579,99629,116150
3Average Salary and Housing,117933,98140,113813
4Average Benefits,5884,14662,9750
5Average Pension,6691,3483,12552
6Total Compensation Average,130509,116286,136116
Total Compensation 25th Percentile,101740,92979,140902
Total Compensation Median,133079,113980,141284
Total Compensation 75th Percentile,151561,122755,145707
Associate Professor,,,
1Number,70,11,4
2Average Salary,95086,77405,110340
2Median Salary,88930,78806,112866
3Average Salary and Housing,96653,77405,110340
4Average Benefits,3187,11332,9121
5Average Pension,7028,4484,8109
6Total Compensation Average,106869,93223,127571
Total Compensation 25th Percentile,87115,92782,115044
Total Compensation Median,97263,95154,123876
Total Compensation 75th Percentile,120319,98592,131868
Assistant Professor,,,
1Number,60,16,5
2Average Salary,80887,60051,89293
2Median Salary,76470,65898,85745
3Average Salary and Housing,82597,60051,89293
4Average Benefits,4335,3047,6322
5Average Pension,5561,4059,7114
6Total Compensation Average,92494,67158,102729
Total Compensation 25th Percentile,72568,57577,82602
Total Compensation Median,87115,72107,107132
Total Compensation 75th Percentile,107001,83859,111231
Non-Ranked Faculty,,,
1Number,1,4,8
2Average Salary,0,91857,30012
2Median Salary,0,91857,20000
3Average Salary and Housing,0,91857,30012
4Average Benefits,0,5531,658
5Average Pension,0,4363,0
6Total Compensation Average,0,101752,30671
Total Compensation 25th Percentile,0,96985,12000
Total Compensation Median,0,101099,20000
Total Compensation 75th Percentile,0,101578,49200
