United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2011,,2016,,2020,,2021,
Enrollment size,N,%,N,%,N,%,N,%
< 75,37,16%,47,20%,51,22%,51,22%
75 - 150,69,29%,70,30%,68,29%,66,28%
151 - 300,70,30%,59,26%,68,29%,62,26%
301 - 500,26,11%,25,11%,22,9%,28,12%
501 - 1000,15,6%,14,6%,13,6%,13,6%
> 1000,13,6%,15,7%,14,6%,14,6%
Not Reporting,5,2%,1,0%,1,0%,1,0%
Total,235,100%,231,100%,237,100%,235,100%
