All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Librarian Professional Staff,,,
Number,82,46,52
Average Salary,55302,57713,58458
Median Salary,51600,55000,58240
Average Salary and Housing,56213,-,-
Average Benefits,10441,9963,8954
Average Pension,5330,6563,4762
Total Compensation Average,71985,74241,72175
Total Compensation 25th Percentile,53358,61934,59386
Total Compensation Median,69723,72681,71750
Total Compensation 75th Percentile,84781,86181,81308
Information Systems Manager,,,
Number,49,30,29
Average Salary,77456,74644,89228
Median Salary,74094,68500,88982
Average Salary and Housing,78888,-,90387
Average Benefits,9889,14204,13947
Average Pension,6781,6995,7305
Total Compensation Average,95559,95844,111640
Total Compensation 25th Percentile,75155,80940,92973
Total Compensation Median,87224,93667,113034
Total Compensation 75th Percentile,111623,110727,127993
Admissions Officer,,,
Number,92,47,38
Average Salary,63171,60630,70947
Median Salary,60754,56375,70200
Average Salary and Housing,64371,60849,71210
Average Benefits,8840,8087,11057
Average Pension,4781,5782,5783
Total Compensation Average,77992,74718,88051
Total Compensation 25th Percentile,55646,56375,64983
Total Compensation Median,78642,69124,88416
Total Compensation 75th Percentile,94174,87066,111990
Recruitment Officer,,,
Number,50,21,15
Average Salary,65933,53229,79315
Median Salary,60000,48984,77100
Average Salary and Housing,68223,-,80825
Average Benefits,8456,5647,11447
Average Pension,6641,4837,6986
Total Compensation Average,83322,63713,99259
Total Compensation 25th Percentile,62121,42500,65974
Total Compensation Median,75426,59119,94079
Total Compensation 75th Percentile,103508,74786,113264
