Degree Category,col_1,White,col_3,col_4,Multi-Racial,col_6,col_7,Not Reported,col_9,col_10,Total,col_12,col_13
,Degree Program,M,F,O,M,F,O,M,F,O,M,F,O
Master's Degree Programs,,,,,,,,,,,,,
MDiv,,10801,4210,111,334,204,7,1861,939,86,19962,8867,271
MA (prof),,3245,4059,7,106,151,2,742,923,42,6806,7795,59
MA (acad),,3493,2059,21,134,91,0,759,676,22,6625,4190,79
MA (both),,528,302,5,10,15,0,242,193,3,1184,844,9
Subtotal MA,,7266,6420,33,250,257,2,1743,1792,67,14615,12829,147
ThM/MTh/STM,,491,84,2,14,5,0,198,45,5,1091,222,20
Doctoral Degree Programs,,,,,,,,,,,,,
DMin,,3199,960,6,96,51,2,872,247,5,7706,2529,17
Other Prof Dr,,447,164,0,10,11,0,139,77,0,1035,561,0
"Subtotal DMin and
Other Prof Dr",,3646,1124,6,106,62,2,1011,324,5,8741,3090,17
PhD/ThD,,1606,444,2,49,24,0,200,50,1,3054,953,10
Non-Degree Programs,,,,,,,,,,,,,
NonDegree,,1134,759,12,38,19,0,555,415,75,2736,1918,92
Total,,24944,13041,166,791,571,11,5568,3565,239,50199,27879,557
