All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Chief Executive Officer,,"Academic VP/Academic
Dean",,Academic Dean - Other,,"Vice President for
Administration",
Number,214,34,217,35,156,7,78,9
Average Salary,160643,119407,97749,87228,89791,82150,114847,101240
Median Salary,145000,108514,95000,91158,87125,78786,113100,98213
Average Salary and Housing,169916,124572,103145,89488,91595,82150,117026,101888
Average Benefits,17119,6190,12736,4715,13015,3122,14350,4999
Average Pension,11949,7598,8311,6030,7298,5884,8622,8760
Total Compensation Average,198985,138360,124192,100233,111908,91155,139998,115647
"Total Compensation 25th
Percentile",113861,93011,91626,73062,90000,46486,104341,78994
Total Compensation Median,175000,117963,118216,97539,109818,99577,136770,109105
"Total Compensation 75th
Percentile",259661,166012,150493,124022,129615,112702,164462,113343
,Executive Vice President,,Chief Development Officer,,"Development Professional
Staff",,Chief Financial Officer,
Number,44,5,111,16,142,8,134,21
Average Salary,148047,134349,119956,82673,78183,55868,114409,79274
Median Salary,146250,102060,115592,62791,72800,45942,109518,78292
Average Salary and Housing,149343,144291,121797,84694,79352,55868,116072,80139
Average Benefits,13808,4541,13015,4620,12453,2306,12763,4787
Average Pension,12827,14169,10054,6451,6921,4985,9160,6288
Total Compensation Average,175978,163001,144866,95765,98725,63159,137995,91214
"Total Compensation 25th
Percentile",128438,70563,104550,70533,72988,36920,94771,77519
Total Compensation Median,176338,108184,142867,78994,94226,52315,137810,88693
"Total Compensation 75th
Percentile",220844,181402,180290,92985,113946,65166,176153,100357
,Dean of Students,,Director of Student Services,,Director of Graduate Studies,,Director of Doctor of Ministry,
Number,108,11,74,7,57,8,95,4
Average Salary,80275,75603,61902,59645,74379,80064,79350,42818
Median Salary,78577,62889,56177,57829,71000,88037,78795,16848
Average Salary and Housing,84867,80274,62995,59645,79751,80064,81112,42818
Average Benefits,13227,4332,10720,1178,11662,5053,11311,1246
Average Pension,7033,6231,4655,3196,5184,8147,5967,3105
Total Compensation Average,105127,90837,78370,64019,96596,93264,98391,47169
"Total Compensation 25th
Percentile",84350,56619,56262,57829,77398,47285,79882,8100
Total Compensation Median,103788,76070,70627,61560,97262,104521,96186,16848
"Total Compensation 75th
Percentile",123499,95430,99973,63163,112694,116515,116007,73925
