"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,
,Degree Program,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total
Asian,,,,,,,,,,,,,,,,,,,,,
,MDiv,1634,500,0,2134,1538,497,0,2035,1615,547,0,2162,1725,533,0,2258,1580,549,19,2148
,MA,800,893,0,1693,880,865,0,1745,996,913,0,1909,1104,1057,0,2161,1193,1203,9,2405
,ThM / STM,153,35,0,188,140,39,0,179,99,22,0,121,82,20,0,102,97,29,0,126
,DMin and Other Dr,700,140,0,840,730,166,0,896,770,180,0,950,904,185,0,1089,1092,213,1,1306
,PhD / ThD,242,81,0,323,235,73,0,308,249,72,0,321,257,76,0,333,299,89,2,390
,Non-Degrees,278,191,0,469,237,159,0,396,224,170,0,394,253,175,0,428,295,312,0,607
,Subtotal,3807,1840,0,5647,3760,1799,0,5559,3953,1904,0,5857,4325,2046,0,6371,4556,2395,31,6982
Black,,,,,,,,,,,,,,,,,,,,,
,MDiv,2409,2050,0,4459,2546,2199,0,4745,2416,2108,0,4524,2409,2029,0,4438,2290,1970,32,4292
,MA,1113,1221,0,2334,1280,1328,0,2608,1254,1287,0,2541,1199,1279,0,2478,1335,1325,9,2669
,ThM / STM,103,40,0,143,83,38,0,121,45,17,0,62,43,11,0,54,55,17,0,72
,DMin and Other Dr,868,585,0,1453,901,656,0,1557,1068,800,0,1868,1103,885,0,1988,1260,1009,3,2272
,PhD / ThD,122,74,0,196,119,75,0,194,155,77,0,232,150,76,0,226,165,94,1,260
,Non-Degrees,157,166,0,323,169,171,0,340,207,157,0,364,162,132,0,294,228,196,1,425
,Subtotal,4772,4136,0,8908,5098,4467,0,9565,5145,4446,0,9591,5066,4412,0,9478,5333,4611,46,9990
Hispanic,,,,,,,,,,,,,,,,,,,,,
,MDiv,1275,423,0,1698,1328,452,0,1780,1308,491,0,1799,1341,529,0,1870,1285,533,10,1828
,MA,1401,700,0,2101,1645,793,0,2438,1465,909,0,2374,1637,961,0,2598,1704,978,5,2687
,ThM / STM,63,9,0,72,45,8,0,53,24,2,0,26,29,5,0,34,39,2,7,48
,DMin and Other Dr,448,87,0,535,390,100,0,490,431,108,0,539,448,120,0,568,500,132,0,632
,PhD / ThD,114,42,0,156,103,42,0,145,118,33,0,151,109,35,0,144,117,42,0,159
,Non-Degrees,367,183,0,550,234,108,0,342,333,161,0,494,296,177,0,473,295,141,0,436
,Subtotal,3668,1444,0,5112,3745,1503,0,5248,3679,1704,0,5383,3860,1827,0,5687,3940,1828,22,5790
