"Table 4.5 Average General Expenditure Per Full-Time Equivalent Student by Full-Time
Equivalent Enrollment Size",col_1,col_2,col_3,col_4
,2019-20,,2020-21,
,Average,N,Average,N
United States Schools,,,,
< 75,61261,84,71113,80
75 - 150,59080,66,47837,76
151 - 300,47536,47,48162,45
301 - 500,50887,16,54814,14
501 - 1000,29753,9,31751,9
> 1000,29043,8,27246,8
Canadian Schools,,,,
< 75,58504,22,60575,23
75 - 150,29649,9,30260,9
151 - 300,23042,4,23900,3
301 - 500,39878,1,37088,1
501 - 1000,0,0,0,0
> 1000,0,0,0,0
"All data is displayed in U.S. dollars.
N = Number reporting.",,,,
