"Table 2.9 Head Count Enrollment by Race or Ethnic Group, Degree, and Gender",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
All Member Schools,,,,,,,,,,,,,,,,,,,,,
Racial/Ethnic Category,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,
,Degree Program,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total,M,F,O,Total
Native American,,,,,,,,,,,,,,,,,,,,,
,MDiv,80,42,0,122,90,33,0,123,90,32,0,122,75,30,0,105,64,26,1,91
,MA,45,51,0,96,61,48,0,109,57,49,0,106,49,37,0,86,65,43,0,108
,ThM / STM,6,2,0,8,5,2,0,7,3,1,0,4,3,1,0,4,3,0,0,3
,DMin and Other Dr,17,6,0,23,16,15,0,31,23,10,0,33,19,13,0,32,24,9,0,33
,PhD / ThD,7,5,0,12,7,4,0,11,4,5,0,9,7,6,0,13,9,8,0,17
,Non-Degrees,13,3,0,16,12,4,0,16,9,4,0,13,5,5,0,10,7,3,0,10
,Subtotal,168,109,0,277,191,106,0,297,186,101,0,287,158,92,0,250,172,89,1,262
Visa,,,,,,,,,,,,,,,,,,,,,
,MDiv,1676,446,0,2122,1899,469,0,2368,1800,436,0,2236,1870,480,0,2350,1747,436,5,2188
,MA,958,772,0,1730,1234,877,0,2111,1112,843,0,1955,1248,933,0,2181,1059,811,22,1892
,ThM / STM,295,55,0,350,318,57,0,375,240,46,0,286,210,39,0,249,194,40,6,240
,DMin and Other Dr,1408,255,0,1663,1381,245,0,1626,1357,238,0,1595,1316,247,0,1563,1102,217,0,1319
,PhD / ThD,567,167,0,734,610,181,0,791,608,182,0,790,647,220,0,867,609,202,4,815
,Non-Degrees,656,832,0,1488,386,186,0,572,227,134,0,361,210,120,0,330,184,73,4,261
,Subtotal,5560,2527,0,8087,5828,2015,0,7843,5344,1879,0,7223,5501,2039,0,7540,4895,1779,41,6715
White,,,,,,,,,,,,,,,,,,,,,
,MDiv,11482,4091,0,15573,11967,4447,0,16414,11897,4427,0,16324,11323,4388,0,15711,10801,4210,111,15122
,MA,6990,5790,0,12780,7749,6244,0,13993,7374,6129,0,13503,7328,6407,0,13735,7266,6420,33,13719
,ThM / STM,823,136,0,959,779,124,0,903,417,56,0,473,500,83,0,583,491,84,2,577
,DMin and Other Dr,3276,843,0,4119,3439,889,0,4328,3531,897,0,4428,3445,976,0,4421,3646,1124,6,4776
,PhD / ThD,1615,455,0,2070,1631,428,0,2059,1634,425,0,2059,1587,430,0,2017,1606,444,2,2052
,Non-Degrees,1193,810,0,2003,1160,764,0,1924,1084,710,0,1794,1139,648,0,1787,1134,759,12,1905
,Subtotal,25379,12125,0,37504,26725,12896,0,39621,25937,12644,0,38581,25322,12932,0,38254,24944,13041,166,38151
