"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2021",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Central Baptist Theological Seminary,,149,139,57,51,0,0,67,22,0,0,112,108,385,320
"Central Baptist Theological Seminary of
Minneapolis",,35,16,16,8,0,0,4,1,0,0,0,0,55,25
Chapman Seminary,,3,1,0,0,0,0,6,2,0,0,0,0,9,3
Chicago Theological Seminary,,200,106,45,24,6,3,0,0,29,29,18,17,298,179
China Evangelical Seminary North America,,23,12,71,28,5,4,7,2,0,0,10,4,116,50
Christian Theological Seminary,,49,39,55,37,0,0,23,8,21,21,0,0,148,105
Christian Witness Theological Seminary,,16,11,34,17,4,2,7,2,0,0,10,3,71,35
Church Divinity School of the Pacific,,49,44,10,2,0,0,0,0,0,0,6,3,65,49
Claremont School of Theology,,91,58,13,5,0,0,57,19,76,76,9,2,246,160
Colgate Rochester Crozer Divinity School,,14,12,2,2,0,0,27,9,0,0,2,2,45,25
Columbia Biblical Seminary,,76,57,278,112,0,0,49,49,0,0,0,0,403,218
Columbia Theological Seminary,,115,101,25,15,10,9,122,53,4,4,0,0,276,182
Concordia Lutheran Seminary (AB),,6,6,0,0,0,0,0,0,0,0,1,1,7,7
Concordia Lutheran Theological Seminary (ON),,10,9,6,3,0,0,0,0,0,0,3,2,19,14
Concordia Seminary (MO),,198,168,36,20,25,4,49,16,101,101,194,68,603,377
Concordia Theological Seminary (IN),,158,121,42,33,13,7,15,5,39,39,40,12,307,217
Covenant Theological Seminary,,185,119,365,198,12,3,57,19,0,0,18,6,637,345
Dallas Theological Seminary,,548,303,1603,645,3,1,231,143,88,88,50,14,2523,1194
Denver Seminary,,300,163,422,217,12,3,87,29,15,15,55,33,891,460
Dominican House of Studies,,48,47,10,9,0,0,0,0,0,0,0,0,58,56
Dominican School of Philosophy and Theology,,18,16,23,18,0,0,0,0,0,0,27,22,68,56
Drew University Theological School,,155,138,26,21,20,16,113,38,52,52,1,1,367,266
Duke University Divinity School,,352,351,102,89,15,10,116,39,34,34,0,0,619,523
Earlham School of Religion,,30,21,25,18,0,0,0,0,0,0,8,4,63,43
Eastern Mennonite Seminary,,22,13,16,7,0,0,0,0,0,0,12,6,50,26
Ecumenical Theological Seminary,,22,10,11,5,0,0,32,11,0,0,0,0,65,26
Eden Theological Seminary,,51,42,15,13,0,0,31,10,0,0,0,0,97,65
Emmanuel Christian Seminary,,59,54,42,28,0,0,10,3,0,0,0,0,111,85
Emmanuel College,,27,18,108,60,0,0,9,3,34,34,9,4,187,119
Erskine Theological Seminary,,52,39,28,18,6,3,55,18,0,0,25,13,166,91
Evangelia University Graduate School of Theology,,79,60,18,13,0,0,31,27,0,0,0,0,128,100
Evangelical Theological Seminary,,19,10,18,10,0,0,0,0,91,91,11,8,139,119
Franciscan School of Theology,,27,21,31,14,0,0,0,0,0,0,6,3,64,38
"Freed-Hardeman University Graduate School of
Theology",,22,10,29,10,0,0,0,0,0,0,0,0,51,20
Fresno Pacific Biblical Seminary,,16,11,112,76,0,0,0,0,0,0,0,0,128,87
Fuller Theological Seminary,,569,252,750,298,7,2,1000,400,106,106,66,19,2498,1077
Garrett-Evangelical Theological Seminary,,94,72,57,45,0,0,58,19,55,55,20,5,284,196
Gateway Seminary,,300,132,350,136,12,9,180,60,19,19,724,391,1585,747
General Theological Seminary,,9,8,24,23,4,3,6,2,0,0,10,5,53,41
George W. Truett Theological Seminary,,239,194,47,27,0,0,63,21,0,0,0,2,349,244
Georgia Central University School of Divinity,,33,33,38,38,0,0,25,8,15,15,0,0,111,94
Gordon-Conwell Theological Seminary,,320,189,576,281,25,11,313,104,0,0,146,48,1380,633
Grace Mission University Graduate School,,99,99,79,79,0,0,23,23,41,41,0,0,242,242
Grace School of Theology,,146,97,272,144,6,3,26,9,0,0,7,2,457,255
Grace Theological Seminary,,48,48,75,61,0,0,42,29,0,0,3,1,168,139
"Graduate School of Theology and Ministry in Puerto
Rico, St. Albert the Great",,6,6,5,5,9,6,0,0,0,0,4,2,24,19
