All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Chief Executive Officer,,,
Number,140,58,43
Average Salary,143578,155498,204890
Median Salary,125400,141392,191449
Average Salary and Housing,152544,164885,212185
Average Benefits,13784,18342,19695
Average Pension,10105,10932,17723
Total Compensation Average,176434,194161,249604
Total Compensation 25th Percentile,110216,117361,120000
Total Compensation Median,150649,173372,245995
Total Compensation 75th Percentile,215273,258784,301106
Academic VP/Academic Dean,,,
Number,141,62,43
Average Salary,91021,96869,115418
Median Salary,91158,97572,118048
Average Salary and Housing,96944,99513,120590
Average Benefits,11492,10750,14622
Average Pension,7294,7046,12662
Total Compensation Average,115731,117310,147875
Total Compensation 25th Percentile,86157,91198,112991
Total Compensation Median,112004,110003,146993
Total Compensation 75th Percentile,142546,138750,169623
Academic Dean - Other,,,
Number,55,38,70
Average Salary,85016,95432,89715
Median Salary,80000,92100,87125
Average Salary and Housing,87652,-,91665
Average Benefits,8134,11437,16717
Average Pension,5360,6938,8873
Total Compensation Average,101146,113808,117256
Total Compensation 25th Percentile,81885,93372,101088
Total Compensation Median,99075,110299,115411
Total Compensation 75th Percentile,113125,130077,140748
Vice President for Administration,,,
Number,51,17,18
Average Salary,113947,99092,128431
Median Salary,116650,83434,132804
Average Salary and Housing,116415,101210,-
Average Benefits,12570,15382,13344
Average Pension,7858,7171,12453
Total Compensation Average,136844,123764,154229
Total Compensation 25th Percentile,109105,74402,128262
Total Compensation Median,128698,102300,154215
Total Compensation 75th Percentile,155261,145088,183427
