Table 2.3 Full-Time Equivalent Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2017,269,21198,13663,1104,3711,3896,43572,2361,45933
2018,277,21922,15906,1049,4096,4036,47009,2285,49294
2019,275,22005,15525,761,4544,4116,46951,2073,49024
2020,275,22053,15877,793,4708,3939,47370,2081,49452
2021,272,20189,15641,843,5011,4017,45701,2405,48106
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2017,231,20208,12735,1036,3612,3531,41121,2072,43193
2018,238,20889,14988,1005,3972,3718,44572,1992,46563
2019,236,20942,14535,700,4427,3807,44411,1808,46218
2020,237,21093,14817,746,4589,3678,44923,1787,46710
2021,235,19280,14632,675,4888,3773,43248,2101,45348
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2017,38,990,928,68,100,365,2451,289,2740
2018,39,1033,918,44,124,318,2437,294,2730
2019,39,1063,990,61,117,309,2541,266,2806
2020,38,960,1060,47,119,261,2447,294,2741
2021,37,910,1009,168,123,244,2453,304,2758
Table 2.3 reports fall full time equivalent enrollment over a five-year period.,,,,,,,,,
