"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2021",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Graduate Theological Union,,0,0,39,29,0,0,0,0,127,127,28,11,194,167
Grand Canyon Theological Seminary,,241,241,267,267,0,0,0,0,0,0,17,17,525,525
Grand Rapids Theological Seminary,,45,26,230,121,3,2,0,0,0,0,0,0,278,149
Harding School of Theology,,36,14,39,11,0,0,13,4,0,0,5,1,93,30
"Hartford International University for Religion and
Peace",,0,0,82,62,0,0,5,2,4,4,21,9,112,77
Harvard University Divinity School,,145,145,192,190,2,1,0,0,0,0,0,0,339,336
Hazelip School of Theology,,38,23,40,12,0,0,10,3,0,0,0,0,88,38
Henry Appenzeller University,,7,7,3,2,0,0,6,2,0,0,0,0,16,11
Heritage Theological Seminary,,61,26,0,0,41,14,0,0,0,0,77,17,179,57
"HMS Richards Divinity School Division of Graduate
Studies",,13,12,14,10,0,0,0,0,0,0,0,0,27,22
Holy Apostles College and Seminary,,23,21,372,92,0,0,0,0,0,0,21,14,416,127
Holy Cross Greek Orthodox School of Theology,,51,49,9,9,7,6,0,0,0,0,9,8,76,72
Hood Theological Seminary,,92,73,9,4,0,0,38,13,0,0,5,3,144,93
Houston Graduate School of Theology,,30,22,29,20,0,0,40,29,0,0,0,0,99,71
Howard University School of Divinity,,78,55,10,10,0,0,14,5,0,0,0,0,102,70
Huron University College Faculty of Theology,,16,12,15,8,17,11,0,0,0,0,0,0,48,31
Iliff School of Theology,,148,76,54,26,0,0,14,5,49,49,5,1,270,157
Immaculate Conception Seminary,,71,71,112,45,0,0,0,0,0,0,69,57,252,173
Institut de Formation Theologique de Montreal,,0,0,0,0,0,0,0,0,0,0,10,2,10,2
Inter-American Adventist Theological Seminary,,0,0,405,394,0,0,85,28,0,0,0,0,490,422
Interdenominational Theological Center,,173,121,7,6,0,0,57,19,0,0,0,0,237,146
International Theological Seminary,,40,6,9,8,9,6,23,8,0,0,0,0,81,28
James and Carolyn McAfee School of Theology,,78,55,19,13,0,0,34,11,0,0,2,2,133,81
Jesuit School of Theology,,32,32,28,17,9,6,0,0,0,0,54,49,123,104
John Leland Center for Theological Studies,,10,6,4,3,0,0,0,0,0,0,14,5,28,14
Kairos University,,306,224,305,183,0,0,92,31,0,0,0,0,703,438
Kearley Graduate School of Theology,,0,0,7,7,1,1,0,0,20,20,0,0,28,28
Kenrick-Glennon Seminary,,64,64,0,0,0,0,0,0,0,0,0,0,64,64
The King's Seminary,,114,64,109,66,0,0,72,24,0,0,0,0,295,154
Knox College,,21,14,62,31,3,2,2,1,26,26,4,3,118,77
Knox Theological Seminary,,63,39,61,30,0,0,44,15,0,0,0,0,168,84
Lancaster Theological Seminary,,51,45,7,6,0,0,28,9,0,0,2,0,88,60
Lexington Theological Seminary,,45,27,6,4,0,0,31,10,0,0,12,5,94,46
"Liberty University John W. Rawlings School of
Divinity",,2429,1751,1606,982,23,15,1305,696,77,77,283,234,5723,3755
Lincoln Christian Seminary,,33,17,143,96,0,0,13,4,0,0,0,0,189,117
Logos Evangelical Seminary,,39,22,123,49,4,4,26,9,3,3,0,0,195,87
Logsdon Seminary of Logsdon School of Theology,,17,12,7,4,0,0,13,4,0,0,0,0,37,20
Louisville Presbyterian Theological Seminary,,66,57,34,30,0,0,32,11,0,0,0,0,132,98
"Loyola Marymount University Department of
Theological Studies",,0,0,77,66,0,0,0,0,0,0,0,0,77,66
"Loyola University Chicago Institute of Pastoral
Studies",,46,40,142,98,0,0,0,0,0,0,0,0,188,138
Luther Seminary,,314,234,112,65,17,8,0,0,16,16,17,7,476,330
Lutheran School of Theology at Chicago,,55,49,12,7,2,2,12,4,36,36,12,5,129,103
Lutheran Theological Seminary (SK),,7,5,6,4,0,0,3,1,0,0,1,1,17,11
Lutheran Theological Southern Seminary,,47,38,7,5,0,1,0,0,0,0,3,2,57,46
M. Christopher White School of Divinity,,99,65,0,0,0,0,34,11,0,0,0,0,133,76
