All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6
,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Dean of Students,,,,,,
Number,25,37,28,15,7,7
Average Salary,66372,71910,88163,89260,108067,88193
Median Salary,62588,73000,91663,78797,120750,77250
Average Salary and Housing,76768,77710,89266,89260,108067,94185
Average Benefits,11599,12947,11697,10578,18715,12840
Average Pension,5678,7198,6701,6979,7289,10925
Total Compensation Average,94046,97856,107665,106817,134071,117951
Total Compensation 25th Percentile,72341,77162,89176,86464,96209,85043
Total Compensation Median,85729,98010,110612,100822,139389,115772
Total Compensation 75th Percentile,112806,111412,126000,123864,141390,120909
Director of Student Services,,,,,,
Number,24,29,16,7,3,2
Average Salary,61127,56083,63304,75364,78620,-
Median Salary,55000,55407,56284,64327,-,-
Average Salary and Housing,62207,56907,63304,75364,78620,-
Average Benefits,6489,12705,6882,14325,13186,-
Average Pension,4337,4147,3484,5617,7824,-
Total Compensation Average,73034,73760,73671,95307,99631,-
Total Compensation 25th Percentile,56262,44380,54169,67062,-,-
Total Compensation Median,68036,67679,61560,96211,-,-
Total Compensation 75th Percentile,83482,98370,84930,110466,-,-
Director of Graduate Studies,,,,,,
Number,13,22,13,6,3,8
Average Salary,56061,77343,91922,77946,82634,67398
Median Salary,58258,77182,91343,68000,-,49344
Average Salary and Housing,59061,82334,96536,77946,83834,79123
Average Benefits,5009,10432,16048,7319,15751,13839
Average Pension,3286,5705,4365,5734,2566,11691
Total Compensation Average,67358,98471,116950,90999,102152,104654
Total Compensation 25th Percentile,48392,77922,80758,68000,-,80568
Total Compensation Median,58258,97262,113054,74106,-,97350
Total Compensation 75th Percentile,78715,116515,146166,103982,-,105547
Director of Doctor of Ministry,,,,,,
Number,20,30,24,11,8,6
Average Salary,75453,72168,79676,77461,100752,77508
Median Salary,74342,72797,79500,79850,94065,71000
Average Salary and Housing,78325,72805,83313,77461,101202,77508
Average Benefits,7828,10579,11500,8107,19284,14357
Average Pension,7611,5093,5424,5005,6305,6433
Total Compensation Average,93764,88478,100238,90573,126791,98299
Total Compensation 25th Percentile,76950,62358,77323,80450,112601,87562
Total Compensation Median,93669,85647,95813,90409,120847,100148
Total Compensation 75th Percentile,109313,110580,126602,100728,131847,111894
