"Table 4.2 Average Tuition, Fees Charged, and Selected Degree Programs at Independent,
University-Affiliated, and College-Affiliated Schools",col_1,col_2,col_3,col_4,col_5
,,United States,,Canada,
,,2020-21,2021-22,2020-21,2021-22
Master's Degree Programs (MDiv) per academic year,,,,,
,Independent,16776,16982,7686,7884
,University-Affiliated,17537,17626,8644,8706
,College-Affiliated,14306,15184,10749,10807
Doctoral Degree Programs (DMin) full program if completed within 3 years,,,,,
,Independent,19243,19353,20626,20682
,University-Affiliated,23452,24112,18180,18252
,College-Affiliated,17190,15912,20634,20634
Doctoral Degree Programs (PhD/ThD) per academic year,,,,,
,Independent,15041,16440,11255,11363
,University-Affiliated,30730,27367,6077,7244
,College-Affiliated,6565,10165,6830,6830
Canadian figures in Canadian dollars. U.S. figures in U.S. dollars.,,,,,
