All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Dean of Students,,,
Number,63,28,27
Average Salary,76147,74208,95024
Median Salary,74769,76407,93510
Average Salary and Housing,83181,74423,98145
Average Benefits,12019,12925,12427
Average Pension,7113,5751,7941
Total Compensation Average,102314,93099,118514
Total Compensation 25th Percentile,77162,72094,89706
Total Compensation Median,104252,89051,117716
Total Compensation 75th Percentile,118994,110466,136599
Director of Student Services,,,
Number,42,23,13
Average Salary,63273,61475,61461
Median Salary,55080,55609,64327
Average Salary and Housing,64342,61689,63846
Average Benefits,6162,16248,12689
Average Pension,4282,4878,5752
Total Compensation Average,74787,82816,82288
Total Compensation 25th Percentile,55000,59949,65960
Total Compensation Median,67037,70627,89990
Total Compensation 75th Percentile,91608,104306,99973
Director of Graduate Studies,,,
Number,26,8,31
Average Salary,74627,100921,68788
Median Salary,71000,97415,65143
Average Salary and Housing,78018,-,75820
Average Benefits,7607,19467,11342
Average Pension,5482,4666,5831
Total Compensation Average,91109,125055,92994
Total Compensation 25th Percentile,57935,78715,77398
Total Compensation Median,92915,112694,97350
Total Compensation 75th Percentile,119902,153250,105547
Director of Doctor of Ministry,,,
Number,36,34,29
Average Salary,77441,75470,81228
Median Salary,77908,73380,80450
Average Salary and Housing,79496,77795,81724
Average Benefits,8265,10349,14830
Average Pension,5474,6168,5947
Total Compensation Average,93236,94314,102502
Total Compensation 25th Percentile,68787,76950,86135
Total Compensation Median,92840,92722,100728
Total Compensation 75th Percentile,111755,110003,122100
