Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, Canada",,,,,,
Expenditures,,2016-17,2017-18,2018-19,2019-20,2020-21
,Instruction,12471,12642,13422,13137,12149
,Research,1025,1158,698,4609,1417
,Public Service,1167,847,2235,1435,1218
,Library,2499,2288,2469,2065,2163
,Academic Support,1716,2226,3067,4608,1390
,Student Services,1657,1682,2297,1528,1097
,Admissions,1637,1696,1719,1789,1522
,Institutional Support,8933,9169,10352,9908,8976
,Operation and Maintenance of Plant,5391,4640,5556,6094,5533
,Scholarships and Fellowships,1726,1752,2235,3180,2554
,Auxiliary Enterprises,2624,2980,4668,2962,3892
,Total Expenditures,33203,33513,39355,39210,33941
"Full-time Equivalent Student, Canada",,,,,,
Expenditures,,2016-17,2017-18,2018-19,2019-20,2020-21
,Instruction,24891,24467,24424,20977,21432
,Research,1128,1270,760,4669,1444
,Public Service,2477,1543,3044,2284,1630
,Library,7807,6968,7485,3473,3472
,Academic Support,2964,3634,4706,6162,3114
,Student Services,8730,7787,7883,2381,1897
,Admissions,2802,2949,2633,2711,2898
,Institutional Support,22649,22114,24414,16632,16105
,Operation and Maintenance of Plant,12474,10489,12135,10651,10087
,Scholarships and Fellowships,2910,2935,3863,4610,4698
,Auxiliary Enterprises,5157,5659,7056,5087,7366
,Total Expenditures,76296,73807,80916,62827,60850
